P. Turismo y eventos
Turismo
Encuesta de Ocupación Hotelera (mensual)
Encuesta de Ocupación Hotelera en apartamentos turísticos
1.1.2.4. Datos globales de la Oferta en apartamentos turísticos en la ciudad de Madrid por Mes
Año;Mes;Número plazas estimadas;Número apartamentos estimados
2010;Promedio;"7.594,42";"3.377,50"
2011;Promedio;"7.432,92";"3.272,17"
2012;Promedio;"7.002,67";"2.998,00"
2013;Promedio;"7.017,50";"2.901,67"
2014;Promedio;"7.441,42";"3.003,92"
2015;Promedio;"7.876,17";"3.087,67"
2016;Promedio;"8.747,58";"3.432,17"
2017;Promedio;"9.400,25";"3.461,75"
2018;Promedio;"9.324,67";"3.549,67"
2019;Promedio;"9.828,83";"3.641,33"
2020;Promedio;"5.929,33";"2.289,75"
2021;Promedio;"9.202,08";"3.452,17"
2022;Promedio;"10.586,42";"3.795,58"
2023;Promedio;"11.710,67";"4.280,00"
2024;Promedio;"11.491,00";"4.179,67"
2025;Promedio;"12.617,33";"4.245,17"
2026;Promedio;"13.433,00";"4.575,00"
