COD_NDP,DECRETO_LU,DISTRITO,DIRECCION,PLANTA,UNIDADES_VUT,EXPEDIENTE_LU,TIPO,RESOLUCION_LU,EXPEDIENTE_LF,DECRETO  LF,RESOLUCION_LF
11009378,Conceder,Distrito de Arganzuela,CALLE BRONCE 9,BAJA 1UD- PRIMERA 1UD,2, 220/2022/00147,VIVIENDAS DE USO TURÍSTICO,19/08/22,220/2023/04219,28/12/23,Conceder
11039707,Conceder,Distrito de Chamberí,CALLE BLASCO DE GARAY  16,BAJA,1,350/2020/00281,VIVIENDAS DE USO TURÍSTICO,01/04/22,,,
11006219,Conceder,Distrito de Centro,CALLE SAN HERMENEGILDO  4,BAJA,1,350/2021/04272,VIVIENDAS DE USO TURÍSTICO,18/08/22,350/2022/12600,19/06/23,Conceder
11007086,Conceder,Distrito de Centro,CALLE LUNA  5,BAJA,2,350/2021/04353,VIVIENDAS DE USO TURÍSTICO,03/05/23,350/2023/27760,11/04/24,Conceder
11029032,Conceder,Distrito de Tetuan,CALLE TENERIFE 4,BAJA,1,350/2021/05022,VIVIENDAS DE USO TURÍSTICO,26/05/22,350/2022/08258,14/04/23,Conceder
11017096,Conceder,Distrito de Salamanca,GLORIETA CAMPANAR   1,BAJA,1,350/2021/05040,VIVIENDAS DE USO TURÍSTICO,18/03/22,350/2025/32740,16/12/25,Conceder
11030259,Conceder,Distrito de Tetuan,CALLE SAN GERMAN 49,PRIMERA,1,350/2022/00038,VIVIENDAS DE USO TURÍSTICO,04/03/22,350/2024/10387,17/10/24,Conceder
11013576,Conceder,Distrito de Retiro,CALLE DOCE DE OCTUBRE 34,BAJA,1,350/2022/00042,VIVIENDAS DE USO TURÍSTICO,04/07/22,,,
11012256,Conceder,Distrito de Retiro,CALLE ANTONIO ARIAS 12,BAJA 1 UD - SEMISOTANO 2 UD,3,350/2022/00052,VIVIENDAS DE USO TURÍSTICO,18/08/22,,,
11011921,Conceder,Distrito de Retiro,CALLE SIRIO 46,BAJA,1,350/2022/00107,VIVIENDAS DE USO TURÍSTICO,22/04/22,350/2022/06359,15/04/23,Conceder
11002182,Conceder,Distrito de Centro,CALLE RODAS 3,BAJA,1,350/2022/00307,VIVIENDAS DE USO TURÍSTICO,12/04/22,220/2022/05850,25/10/22,Conceder
11002479,Conceder,Distrito de Centro,CALLE MINISTRILES 10,BAJA,1,350/2022/01247,VIVIENDAS DE USO TURÍSTICO,12/01/24,350/2025/16833,02/12/25,Conceder
11117238,Conceder,Distrito de Hortaleza,CALLE TRIBALDOS 56,BAJA,1,350/2022/01311,VIVIENDAS DE USO TURÍSTICO,03/02/22,350/2025/25323,05/02/26,Conceder
11104439,Conceder,Distrito de Ciudad Lineal,CALLE RICARDO ORTIZ 18,SOTANO,1,350/2022/01538,VIVIENDAS DE USO TURÍSTICO,26/05/22,350/2023/13389,11/02/24,Conceder
11104439,Conceder,Distrito de Ciudad Lineal,CALLE RICARDO ORTIZ 18,BAJA,1,350/2022/01542,VIVIENDAS DE USO TURÍSTICO,12/06/23,350/2023/18469,05/02/24,Conceder
