Año;Periodo;Territorio;Indicador;Valor;Unidad;Estado dato
2025;T4;Arganzuela;Serie;139.287;Índice;
2025;T4;Arganzuela;Tasa de variación sobre el periodo anterior;2.4;Porcentaje;
2025;T4;Arganzuela;Tasa de variación sobre igual período del año anterior;18.8;Porcentaje;
2025;T4;Barajas;Serie;130.718;Índice;
2025;T4;Barajas;Tasa de variación sobre el periodo anterior;3.9;Porcentaje;
2025;T4;Barajas;Tasa de variación sobre igual período del año anterior;13.8;Porcentaje;
2025;T4;Carabanchel;Serie;147.145;Índice;
2025;T4;Carabanchel;Tasa de variación sobre el periodo anterior;1.7;Porcentaje;
2025;T4;Carabanchel;Tasa de variación sobre igual período del año anterior;20.6;Porcentaje;
2025;T4;Centro;Serie;129.447;Índice;
2025;T4;Centro;Tasa de variación sobre el periodo anterior;-0.2;Porcentaje;
2025;T4;Centro;Tasa de variación sobre igual período del año anterior;12.5;Porcentaje;
2025;T4;Chamartín;Serie;138.729;Índice;
2025;T4;Chamartín;Tasa de variación sobre el periodo anterior;-3.7;Porcentaje;
2025;T4;Chamartín;Tasa de variación sobre igual período del año anterior;13.8;Porcentaje;
2025;T4;Chamberí;Serie;139.541;Índice;
2025;T4;Chamberí;Tasa de variación sobre igual período del año anterior;15.2;Porcentaje;
2025;T4;Ciudad Lineal;Serie;143.296;Índice;
2025;T4;Ciudad Lineal;Tasa de variación sobre el periodo anterior;3.6;Porcentaje;
2025;T4;Ciudad Lineal;Tasa de variación sobre igual período del año anterior;19.4;Porcentaje;
2025;T4;Fuencarral-El Pardo;Serie;137.769;Índice;
2025;T4;Fuencarral-El Pardo;Tasa de variación sobre el periodo anterior;3.1;Porcentaje;
2025;T4;Fuencarral-El Pardo;Tasa de variación sobre igual período del año anterior;19.8;Porcentaje;
2025;T4;Hortaleza;Serie;135.903;Índice;
2025;T4;Hortaleza;Tasa de variación sobre el periodo anterior;1.6;Porcentaje;
2025;T4;Hortaleza;Tasa de variación sobre igual período del año anterior;17.5;Porcentaje;
2025;T4;Latina;Serie;147.202;Índice;
2025;T4;Latina;Tasa de variación sobre el periodo anterior;3.1;Porcentaje;
2025;T4;Latina;Tasa de variación sobre igual período del año anterior;18.1;Porcentaje;
2025;T4;Moncloa-Aravaca;Serie;137.64;Índice;
2025;T4;Moncloa-Aravaca;Tasa de variación sobre el periodo anterior;2.8;Porcentaje;
2025;T4;Moncloa-Aravaca;Tasa de variación sobre igual período del año anterior;16.8;Porcentaje;
2025;T4;Moratalaz;Serie;139.792;Índice;
2025;T4;Moratalaz;Tasa de variación sobre el periodo anterior;-3.4;Porcentaje;
2025;T4;Moratalaz;Tasa de variación sobre igual período del año anterior;18.4;Porcentaje;
2025;T4;Puente de Vallecas;Serie;144.984;Índice;
2025;T4;Puente de Vallecas;Tasa de variación sobre el periodo anterior;3.8;Porcentaje;
2025;T4;Puente de Vallecas;Tasa de variación sobre igual período del año anterior;22.2;Porcentaje;
2025;T4;Retiro;Serie;141.392;Índice;
2025;T4;Retiro;Tasa de variación sobre el periodo anterior;2.0;Porcentaje;
2025;T4;Retiro;Tasa de variación sobre igual período del año anterior;17.5;Porcentaje;
2025;T4;Salamanca;Serie;144.321;Índice;
2025;T4;Salamanca;Tasa de variación sobre el periodo anterior;1.5;Porcentaje;
2025;T4;Salamanca;Tasa de variación sobre igual período del año anterior;15.0;Porcentaje;
2025;T4;San Blas-Canillejas;Serie;142.205;Índice;
2025;T4;San Blas-Canillejas;Tasa de variación sobre el periodo anterior;3.1;Porcentaje;
2025;T4;San Blas-Canillejas;Tasa de variación sobre igual período del año anterior;21.1;Porcentaje;
2025;T4;Tetuán;Serie;140.453;Índice;
2025;T4;Tetuán;Tasa de variación sobre el periodo anterior;3.2;Porcentaje;
2025;T4;Tetuán;Tasa de variación sobre igual período del año anterior;15.1;Porcentaje;
2025;T4;Usera;Serie;145.436;Índice;
2025;T4;Usera;Tasa de variación sobre el periodo anterior;0.7;Porcentaje;
2025;T4;Usera;Tasa de variación sobre igual período del año anterior;18.7;Porcentaje;
2025;T4;Vicálvaro;Serie;140.561;Índice;
2025;T4;Vicálvaro;Tasa de variación sobre el periodo anterior;2.6;Porcentaje;
2025;T4;Vicálvaro;Tasa de variación sobre igual período del año anterior;22.8;Porcentaje;
2025;T4;Villa de Vallecas;Serie;137.683;Índice;
2025;T4;Villa de Vallecas;Tasa de variación sobre el periodo anterior;1.6;Porcentaje;
2025;T4;Villa de Vallecas;Tasa de variación sobre igual período del año anterior;17.8;Porcentaje;
2025;T4;Villaverde;Serie;151.095;Índice;
2025;T4;Villaverde;Tasa de variación sobre el periodo anterior;5.0;Porcentaje;
2025;T4;Villaverde;Tasa de variación sobre igual período del año anterior;24.1;Porcentaje;
2025;T3;Arganzuela;Serie;136.031;Índice;
2025;T3;Arganzuela;Tasa de variación sobre el periodo anterior;1.8;Porcentaje;
2025;T3;Arganzuela;Tasa de variación sobre igual período del año anterior;17.4;Porcentaje;
2025;T3;Barajas;Serie;125.832;Índice;
2025;T3;Barajas;Tasa de variación sobre el periodo anterior;3.0;Porcentaje;
2025;T3;Barajas;Tasa de variación sobre igual período del año anterior;18.8;Porcentaje;
2025;T3;Carabanchel;Serie;144.739;Índice;
2025;T3;Carabanchel;Tasa de variación sobre el periodo anterior;6.5;Porcentaje;
2025;T3;Carabanchel;Tasa de variación sobre igual período del año anterior;22.3;Porcentaje;
2025;T3;Centro;Serie;129.767;Índice;
2025;T3;Centro;Tasa de variación sobre el periodo anterior;4.2;Porcentaje;
2025;T3;Centro;Tasa de variación sobre igual período del año anterior;17.2;Porcentaje;
2025;T3;Chamartín;Serie;144.114;Índice;
2025;T3;Chamartín;Tasa de variación sobre el periodo anterior;9.0;Porcentaje;
2025;T3;Chamartín;Tasa de variación sobre igual período del año anterior;16.1;Porcentaje;
2025;T3;Chamberí;Serie;137.809;Índice;
2025;T3;Chamberí;Tasa de variación sobre igual período del año anterior;15.1;Porcentaje;
2025;T3;Ciudad Lineal;Serie;138.365;Índice;
2025;T3;Ciudad Lineal;Tasa de variación sobre el periodo anterior;0.9;Porcentaje;
2025;T3;Ciudad Lineal;Tasa de variación sobre igual período del año anterior;18.4;Porcentaje;
2025;T3;Fuencarral-El Pardo;Serie;133.583;Índice;
2025;T3;Fuencarral-El Pardo;Tasa de variación sobre el periodo anterior;3.1;Porcentaje;
2025;T3;Fuencarral-El Pardo;Tasa de variación sobre igual período del año anterior;20.2;Porcentaje;
2025;T3;Hortaleza;Serie;133.729;Índice;
2025;T3;Hortaleza;Tasa de variación sobre el periodo anterior;2.5;Porcentaje;
2025;T3;Hortaleza;Tasa de variación sobre igual período del año anterior;20.4;Porcentaje;
2025;T3;Latina;Serie;142.834;Índice;
2025;T3;Latina;Tasa de variación sobre el periodo anterior;2.4;Porcentaje;
2025;T3;Latina;Tasa de variación sobre igual período del año anterior;21.7;Porcentaje;
2025;T3;Moncloa-Aravaca;Serie;133.874;Índice;
2025;T3;Moncloa-Aravaca;Tasa de variación sobre el periodo anterior;3.8;Porcentaje;
2025;T3;Moncloa-Aravaca;Tasa de variación sobre igual período del año anterior;18.4;Porcentaje;
2025;T3;Moratalaz;Serie;144.641;Índice;
2025;T3;Moratalaz;Tasa de variación sobre el periodo anterior;6.1;Porcentaje;
2025;T3;Moratalaz;Tasa de variación sobre igual período del año anterior;24.2;Porcentaje;
2025;T3;Puente de Vallecas;Serie;139.644;Índice;
2025;T3;Puente de Vallecas;Tasa de variación sobre el periodo anterior;4.8;Porcentaje;
2025;T3;Puente de Vallecas;Tasa de variación sobre igual período del año anterior;19.0;Porcentaje;
2025;T3;Retiro;Serie;138.681;Índice;
2025;T3;Retiro;Tasa de variación sobre el periodo anterior;1.7;Porcentaje;
2025;T3;Retiro;Tasa de variación sobre igual período del año anterior;15.7;Porcentaje;
2025;T3;Salamanca;Serie;142.21;Índice;
2025;T3;Salamanca;Tasa de variación sobre el periodo anterior;5.5;Porcentaje;
2025;T3;Salamanca;Tasa de variación sobre igual período del año anterior;17.1;Porcentaje;
2025;T3;San Blas-Canillejas;Serie;137.971;Índice;
2025;T3;San Blas-Canillejas;Tasa de variación sobre el periodo anterior;3.5;Porcentaje;
2025;T3;San Blas-Canillejas;Tasa de variación sobre igual período del año anterior;23.9;Porcentaje;
2025;T3;Tetuán;Serie;136.042;Índice;
2025;T3;Tetuán;Tasa de variación sobre el periodo anterior;3.4;Porcentaje;
2025;T3;Tetuán;Tasa de variación sobre igual período del año anterior;19.3;Porcentaje;
2025;T3;Usera;Serie;144.496;Índice;
