E. Edificación y Vivienda
Mercado de la vivienda
Precios de la vivienda
"4.3.21.D. Evolución del precio de oferta de alquiler de la vivienda (€/m2) por Distrito, Barrio y Mes"
;;;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
2023;Total Ciudad de Madrid;Ciudad de Madrid;"16,00";"16,18";"16,21";"16,40";"16,60";"16,80";"17,07";"17,42";"17,65";"17,79";"17,75";"17,93"
2023;01. Centro;01. Centro;"20,16";"20,46";"19,99";"20,00";"20,24";"20,10";"19,99";"20,30";"20,59";"21,17";"21,82";"22,09"
2023;01. Centro;011. Palacio;"19,20";"19,57";"19,19";"19,70";"19,44";"19,11";"19,23";"19,45";"19,50";"20,53";"21,54";"21,95"
2023;01. Centro;012. Embajadores;"19,82";"20,00";"19,57";"19,39";"19,37";"19,38";"19,36";"19,54";"19,75";"20,00";"20,56";"20,79"
2023;01. Centro;013. Cortes;"20,00";"20,00";"19,30";"20,00";"20,42";"20,02";"20,00";"19,98";"20,39";"20,87";"21,82";"21,82"
2023;01. Centro;014. Justicia;"22,61";"22,13";"21,55";"21,76";"22,31";"22,14";"22,46";"22,41";"22,06";"23,40";"23,83";"24,49"
2023;01. Centro;015. Universidad;"20,35";"20,89";"20,18";"20,53";"20,91";"20,79";"20,69";"20,82";"21,11";"21,82";"22,11";"22,62"
2023;01. Centro;016. Sol;"19,19";"20,13";"19,42";"19,97";"20,10";"20,67";"20,67";"20,83";"21,64";"21,43";"21,43";"20,42"
2023;02. Arganzuela;02. Arganzuela;"16,20";"16,13";"16,30";"16,25";"16,36";"16,44";"16,67";"16,91";"17,19";"17,27";"17,32";"17,71"
2023;02. Arganzuela;021. Imperial;"15,58";"15,83";"16,30";"16,50";"16,83";"16,51";"16,42";"16,15";"16,48";"17,13";"17,92";"18,13"
2023;02. Arganzuela;022. Acacias;"16,42";"16,67";"17,25";"17,44";"16,67";"17,00";"16,67";"16,67";"17,39";"17,73";"17,78";"18,46"
2023;02. Arganzuela;023. Chopera;"16,55";"16,00";"15,96";"15,44";"15,22";"15,38";"15,83";"16,92";"17,22";"16,67";"16,98";"17,27"
2023;02. Arganzuela;024. Legazpi;"15,26";"15,53";"15,71";"15,74";"15,87";"15,58";"15,54";"15,50";"16,00";"16,43";"15,96";"15,65"
2023;02. Arganzuela;025. Delicias;"15,83";"15,67";"15,94";"16,00";"16,50";"16,67";"17,27";"17,41";"17,50";"17,59";"17,39";"17,31"
2023;02. Arganzuela;026. Palos de la Frontera;"17,14";"17,43";"16,87";"16,87";"17,17";"17,28";"17,42";"17,86";"17,78";"17,59";"17,86";"18,67"
2023;02. Arganzuela;027. Atocha;..;..;..;..;..;..;..;..;..;..;..;..
2023;03. Retiro;03. Retiro;"17,16";"17,05";"17,16";"17,41";"17,58";"17,68";"17,68";"17,76";"17,98";"18,45";"18,56";"19,17"
2023;03. Retiro;031. Pacífico;"15,93";"16,45";"16,68";"16,67";"16,67";"16,24";"16,45";"16,36";"16,54";"16,91";"16,94";"17,74"
2023;03. Retiro;032. Adelfas;"16,00";"15,81";"15,28";"15,91";"15,38";"15,50";"15,38";"16,19";"16,36";"16,67";"16,00";"15,89"
2023;03. Retiro;033. Estrella;"15,05";"14,74";"14,96";"15,00";"15,71";"16,30";"15,71";"15,67";"16,59";..;..;..
2023;03. Retiro;034. Ibiza;"18,75";"18,64";"18,64";"19,23";"19,35";"19,69";"19,50";"19,47";"19,63";"20,00";"19,95";"20,54"
2023;03. Retiro;035. Los Jerónimos;"19,20";"19,20";"18,50";"18,33";"18,33";..;..;..;..;..;..;..
2023;03. Retiro;036. Niño Jesús;"15,67";"15,61";"16,58";"16,87";"16,26";"16,61";"16,88";"17,34";"17,86";"18,51";"18,99";"18,45"
2023;04. Salamanca;04. Salamanca;"19,83";"19,98";"19,97";"20,26";"20,68";"20,99";"21,24";"21,42";"21,81";"22,35";"22,18";"22,50"
2023;04. Salamanca;041. Recoletos;"22,73";"23,08";"23,64";"24,06";"24,60";"24,32";"24,16";"24,56";"24,90";"24,74";"24,45";"25,21"
2023;04. Salamanca;042. Goya;"20,00";"20,00";"20,00";"19,48";"19,91";"21,15";"21,33";"21,81";"22,21";"22,56";"22,73";"23,21"
2023;04. Salamanca;043. Fuente del Berro;"16,66";"16,57";"17,44";"17,78";"18,30";"17,83";"17,83";"18,09";"18,62";"18,63";"18,23";"17,92"
2023;04. Salamanca;044. Guindalera;"17,37";"17,73";"17,72";"18,15";"18,02";"18,01";"18,04";"18,50";"18,89";"18,97";"19,01";"19,81"
2023;04. Salamanca;045. Lista;"19,02";"20,19";"20,36";"20,28";"20,63";"20,83";"21,43";"21,22";"21,32";"22,64";"22,50";"22,73"
2023;04. Salamanca;046. Castellana;"21,18";"21,43";"21,54";"21,80";"22,09";"22,06";"22,40";"22,44";"23,01";"23,41";"23,50";"23,75"
2023;05. Chamartín;05. Chamartín;"16,94";"17,37";"17,49";"17,50";"17,69";"17,50";"17,65";"18,09";"18,13";"18,52";"18,89";"19,20"
2023;05. Chamartín;051. El Viso;"18,47";"18,71";"18,86";"18,59";"18,79";"18,65";"19,36";"19,88";"19,95";"20,20";"20,33";"21,02"
2023;05. Chamartín;052. Prosperidad;"16,01";"16,73";"17,08";"17,32";"17,50";"17,23";"17,22";"17,72";"17,86";"18,00";"18,29";"18,95"
2023;05. Chamartín;053. Ciudad Jardín;"16,85";"17,47";"17,47";"17,47";"17,92";"17,74";"17,81";"18,46";"18,46";"19,18";"19,76";"19,19"
2023;05. Chamartín;054. Hispanoamérica;"17,39";"17,72";"18,10";"18,08";"18,27";"17,92";"17,98";"18,38";"18,49";"19,32";"19,55";"19,35"
2023;05. Chamartín;055. Nueva España;"17,03";"17,43";"17,82";"17,88";"17,62";"17,47";"17,61";"17,72";"17,43";"17,47";"17,81";"18,04"
2023;05. Chamartín;056. Castilla;"15,19";"15,19";"14,99";"15,37";"15,81";"15,93";"15,98";"16,62";"17,08";"17,08";"17,38";"17,35"
2023;06. Tetuán;06. Tetuán;"16,82";"16,88";"16,90";"17,12";"17,30";"17,32";"17,21";"17,29";"17,45";"17,82";"18,00";"18,46"
2023;06. Tetuán;061. Bellas Vistas;"17,50";"16,90";"16,29";"16,51";"17,07";"17,18";"17,12";"17,30";"17,71";"18,28";"18,29";"17,91"
2023;06. Tetuán;062. Cuatro Caminos;"17,91";"17,80";"17,78";"18,30";"18,57";"18,46";"18,33";"18,21";"18,33";"18,33";"18,75";"19,40"
2023;06. Tetuán;063. Castillejos;"16,91";"16,88";"16,85";"17,44";"17,91";"18,00";"17,95";"17,92";"18,11";"17,95";"18,31";"18,89"
2023;06. Tetuán;064. Almenara;"15,92";"16,35";"16,42";"17,09";"17,37";"16,64";"16,24";"16,80";"17,22";"17,76";"18,54";..
2023;06. Tetuán;065. Valdeacederas;"15,72";"16,36";"17,34";"17,00";"16,82";"16,67";"16,56";"16,68";"16,54";"17,03";"17,28";"17,57"
2023;06. Tetuán;066. Berruguete;"16,42";"16,26";"15,92";"15,84";"16,00";"16,35";"16,65";"16,44";"16,50";"16,88";"16,67";"16,42"
2023;07. Chamberí;07. Chamberí;"19,64";"19,51";"19,59";"19,61";"20,00";"20,00";"19,99";"20,26";"20,62";"21,25";"21,62";"21,88"
2023;07. Chamberí;071. Gaztambide;"18,80";"18,89";"18,75";"18,81";"18,89";"18,75";"18,89";"19,09";"19,44";"20,00";"20,00";"20,77"
2023;07. Chamberí;072. Arapiles;"19,00";"18,89";"18,63";"18,63";"18,89";"19,44";"19,63";"19,47";"19,60";"20,00";"20,25";"21,31"
2023;07. Chamberí;073. Trafalgar;"21,25";"20,83";"21,00";"20,83";"21,25";"21,67";"22,49";"22,23";"22,50";"23,13";"23,75";"24,10"
2023;07. Chamberí;074. Almagro;"20,39";"21,00";"21,05";"21,43";"21,84";"21,52";"21,88";"22,58";"22,81";"22,78";"22,96";"22,83"
2023;07. Chamberí;075. Ríos Rosas;"19,29";"19,05";"19,00";"19,10";"19,66";"20,00";"20,18";"20,59";"20,76";"20,90";"20,90";"21,54"
2023;07. Chamberí;076. Vallehermoso;"17,62";"17,62";"18,19";"18,16";"17,86";"17,78";"17,78";"17,98";"18,50";"18,73";"18,98";"19,76"
2023;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;"13,22";"13,46";"13,72";"13,70";"13,89";"13,81";"13,82";"14,01";"14,12";"14,23";"14,37";"14,40"
2023;08. Fuencarral-El Pardo;081. El Pardo;..;..;..;..;..;..;..;..;..;..;..;..
2023;08. Fuencarral-El Pardo;082. Fuentelarreina;"10,95";"10,89";"10,88";..;..;..;..;..;..;..;..;..
2023;08. Fuencarral-El Pardo;083. Peñagrande;"14,26";"14,13";"14,13";"13,96";"14,04";"13,92";"13,82";"13,44";"13,46";"13,87";"14,61";"15,04"
2023;08. Fuencarral-El Pardo;084. Pilar;"14,71";"14,78";"14,67";"14,98";"15,18";"14,83";"14,84";"15,33";"15,45";"15,71";"16,17";"16,23"
2023;08. Fuencarral-El Pardo;085. La Paz;"12,05";"12,31";"13,18";..;..;..;..;..;..;..;..;..
2023;08. Fuencarral-El Pardo;086. Valverde;"12,89";"13,24";"13,54";"13,33";"13,14";"13,38";"13,74";"13,97";"14,18";"14,23";"14,16";"14,20"
2023;08. Fuencarral-El Pardo;087. Mirasierra;"13,32";"13,09";"13,07";"13,45";"14,01";"14,32";"14,49";..;..;..;..;..
2023;08. Fuencarral-El Pardo;088. El Goloso;"13,38";"14,01";"14,34";"14,51";"13,98";"13,78";"13,34";"13,44";"13,85";"14,05";"14,34";"14,02"
2023;09. Moncloa-Aravaca;09. Moncloa-Aravaca;"15,15";"15,35";"15,71";"15,99";"16,30";"16,58";"16,93";"17,04";"17,14";"16,98";"16,98";"17,56"
2023;09. Moncloa-Aravaca;091. Casa de Campo;"15,53";"15,51";"15,71";"15,82";"15,77";"15,67";"16,07";"16,27";"16,30";"16,47";"16,94";..
2023;09. Moncloa-Aravaca;092. Argüelles;"17,80";"17,86";"17,86";"18,75";"18,89";"19,01";"19,44";"19,69";"19,51";"19,69";"19,99";"20,68"
2023;09. Moncloa-Aravaca;093. Ciudad Universitaria;"14,23";"14,74";"15,41";"16,05";"16,38";"16,32";"16,82";"16,94";"17,16";"16,99";"16,03";"16,34"
2023;09. Moncloa-Aravaca;094. Valdezarza;"14,14";"14,38";"14,63";"14,93";"15,44";"15,37";"14,79";"14,67";"14,66";"14,96";"15,20";"15,54"
2023;09. Moncloa-Aravaca;095. Valdemarín;"15,69";"14,88";"15,44";"15,86";"15,84";"16,21";"16,23";"15,72";"15,57";"15,58";"15,38";"15,51"
2023;09. Moncloa-Aravaca;096. El Plantío;"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
2023;09. Moncloa-Aravaca;097. Aravaca;"13,63";"13,71";"13,74";"13,60";"13,81";"14,08";"14,35";"14,62";"14,87";"15,15";"14,90";"14,90"
2023;10. Latina;10. Latina;"12,89";"12,78";"12,90";"13,21";"13,33";"13,33";"13,38";"13,50";"13,84";"14,27";"14,39";"14,60"
2023;10. Latina;101. Los Cármenes;"13,13";"13,13";"13,20";..;..;..;..;..;..;..;..;..
2023;10. Latina;102. Puerta del Ángel;"15,02";"15,00";"14,94";"14,95";"15,06";"15,00";"15,42";"15,42";"15,70";"16,42";"17,28";"17,89"
2023;10. Latina;103. Lucero;"12,86";"12,19";"12,16";"12,57";"12,63";"12,30";..;..;..;..;..;..
2023;10. Latina;104. Aluche;"11,59";"12,00";"11,84";"12,14";"12,50";"12,50";"12,33";"12,78";"12,93";"12,78";"12,79";"13,09"
2023;10. Latina;105. Campamento;"12,18";"11,95";..;..;..;..;..;"13,53";..;"13,81";"14,19";..
2023;10. Latina;106. Cuatro Vientos;..;..;..;..;..;..;..;..;..;..;..;..
2023;10. Latina;107. Águilas;"11,18";"11,33";"11,69";"11,99";"12,00";"11,84";"11,67";"11,79";"11,95";"11,67";"11,76";"11,88"
2023;11. Carabanchel;11. Carabanchel;"12,60";"12,57";"12,93";"13,32";"13,28";"13,35";"13,46";"13,57";"13,74";"13,92";"13,92";"14,13"
2023;11. Carabanchel;111. Comillas;"14,00";"13,46";"14,05";"14,55";"13,90";"14,34";"14,34";"14,91";"15,30";"15,54";"15,33";"14,58"
2023;11. Carabanchel;112. Opañel;"12,73";"12,50";"12,89";"13,57";"13,75";"13,43";"13,85";"14,04";"13,86";"13,89";"14,62";"14,77"
2023;11. Carabanchel;113. San Isidro;"12,85";"13,36";"14,09";"14,06";"13,93";"13,78";"13,94";"13,97";"14,24";"15,00";"14,44";"15,01"
2023;11. Carabanchel;114. Vista Alegre;"12,07";"12,52";"12,89";"13,35";"13,07";"13,17";"13,33";"13,21";"13,75";"13,24";"14,00";"14,24"
2023;11. Carabanchel;115. Puerta Bonita;"13,28";"13,14";"13,22";"13,39";"13,45";"13,80";"13,39";"13,30";"13,75";"14,12";"14,10";"13,72"
2023;11. Carabanchel;116. Buenavista;"12,37";"12,38";"12,44";"12,67";"12,38";"12,72";"12,85";"12,79";"12,99";"12,88";"12,85";"12,99"
2023;11. Carabanchel;117. Abrantes;"12,00";"12,00";"12,08";"12,31";"12,75";"12,85";"12,45";"12,81";"12,75";"12,99";"13,09";"12,98"
2023;12. Usera;12. Usera;"13,08";"13,51";"13,45";"13,32";"13,49";"13,33";"13,32";"13,27";"13,75";"13,83";"14,09";"14,29"
2023;12. Usera;121. Orcasitas;..;..;..;..;..;..;..;..;..;..;..;..
2023;12. Usera;122. Orcasur;..;..;..;"12,84";..;..;..;..;..;..;..;..
2023;12. Usera;123. San Fermín;"11,61";"11,61";"11,69";"11,67";..;..;"11,25";"11,25";..;..;..;..
2023;12. Usera;124. Almendrales;"13,33";"13,74";"13,64";"13,33";"13,62";"14,33";"13,77";"13,77";"13,97";..;..;..
