E. Edificación y Vivienda
Mercado de la vivienda
Precios de la vivienda
"4.3.21.D. Evolución del precio de oferta de alquiler de la vivienda (€/m2) por Distrito, Barrio y Mes"
;;;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
2023;Total Ciudad de Madrid;Ciudad de Madrid;"16,00";"16,18";"16,21";"16,40";"16,60";"16,80";"17,07";"17,42";"17,65";"17,79";"17,75";"17,93"
2023;01. Centro;01. Centro;"20,16";"20,46";"19,99";"20,00";"20,24";"20,10";"19,99";"20,30";"20,59";"21,17";"21,82";"22,09"
2023;02. Arganzuela;02. Arganzuela;"16,20";"16,13";"16,30";"16,25";"16,36";"16,44";"16,67";"16,91";"17,19";"17,27";"17,32";"17,71"
2023;03. Retiro;03. Retiro;"17,16";"17,05";"17,16";"17,41";"17,58";"17,68";"17,68";"17,76";"17,98";"18,45";"18,56";"19,17"
2023;04. Salamanca;04. Salamanca;"19,83";"19,98";"19,97";"20,26";"20,68";"20,99";"21,24";"21,42";"21,81";"22,35";"22,18";"22,50"
2023;05. Chamartín;05. Chamartín;"16,94";"17,37";"17,49";"17,50";"17,69";"17,50";"17,65";"18,09";"18,13";"18,52";"18,89";"19,20"
2023;06. Tetuán;06. Tetuán;"16,82";"16,88";"16,90";"17,12";"17,30";"17,32";"17,21";"17,29";"17,45";"17,82";"18,00";"18,46"
2023;07. Chamberí;07. Chamberí;"19,64";"19,51";"19,59";"19,61";"20,00";"20,00";"19,99";"20,26";"20,62";"21,25";"21,62";"21,88"
2023;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;"13,22";"13,46";"13,72";"13,70";"13,89";"13,81";"13,82";"14,01";"14,12";"14,23";"14,37";"14,40"
2023;09. Moncloa-Aravaca;09. Moncloa-Aravaca;"15,15";"15,35";"15,71";"15,99";"16,30";"16,58";"16,93";"17,04";"17,14";"16,98";"16,98";"17,56"
2023;10. Latina;10. Latina;"12,89";"12,78";"12,90";"13,21";"13,33";"13,33";"13,38";"13,50";"13,84";"14,27";"14,39";"14,60"
2023;11. Carabanchel;11. Carabanchel;"12,60";"12,57";"12,93";"13,32";"13,28";"13,35";"13,46";"13,57";"13,74";"13,92";"13,92";"14,13"
2023;12. Usera;12. Usera;"13,08";"13,51";"13,45";"13,32";"13,49";"13,33";"13,32";"13,27";"13,75";"13,83";"14,09";"14,29"
2023;13. Puente de Vallecas;13. Puente de Vallecas;"13,12";"13,12";"13,38";"13,33";"13,40";"13,60";"13,74";"13,78";"13,86";"13,88";"14,14";"14,25"
2023;14. Moratalaz;14. Moratalaz;"12,09";"12,11";"12,24";"12,12";"12,01";"12,18";"12,38";"12,57";"12,74";"13,06";"13,62";"13,79"
2023;15. Ciudad Lineal;15. Ciudad Lineal;"14,30";"14,17";"14,40";"14,77";"14,93";"14,99";"15,07";"15,35";"15,44";"15,55";"15,52";"15,77"
2023;16. Hortaleza;16. Hortaleza;"13,48";"13,58";"13,70";"13,82";"13,86";"13,98";"14,22";"14,43";"14,50";"14,63";"14,74";"14,79"
2023;17. Villaverde;17. Villaverde;"11,75";"11,88";"11,87";"12,00";"12,31";"12,34";"12,36";"12,50";"12,69";"12,79";"12,83";"12,93"
2023;18. Villa de Vallecas;18. Villa de Vallecas;"11,89";"11,82";"12,22";"12,76";"12,65";"12,48";"12,66";"12,69";"12,73";"12,96";"13,11";"13,35"
2023;19. Vicálvaro;19. Vicálvaro;"11,36";"11,25";"11,22";"11,36";"11,37";"11,42";"11,55";"11,94";"12,33";"12,00";"12,21";"12,59"
2023;20. San Blas-Canillejas;20. San Blas-Canillejas;"12,45";"12,66";"13,11";"13,15";"13,15";"13,22";"13,27";"13,11";"13,28";"13,54";"13,44";"13,58"
2023;21. Barajas;21. Barajas;"12,48";"12,54";"12,67";"12,65";"12,96";"13,22";"13,13";"13,32";"13,56";"13,70";"14,00";"14,00"
2024;Total Ciudad de Madrid;Ciudad de Madrid;"18,26";"18,68";"18,92";"19,19";"19,44";"19,81";"19,81";"19,92";"20,43";"20,61";"20,50";"20,69"
2024;01. Centro;01. Centro;"22,59";"23,08";"23,33";"23,57";"23,58";"23,53";"23,34";"23,61";"24,00";"24,44";"24,98";"25,48"
2024;02. Arganzuela;02. Arganzuela;"18,05";"18,57";"19,06";"19,16";"19,37";"19,59";"19,65";"19,88";"20,16";"20,45";"20,43";"20,30"
2024;03. Retiro;03. Retiro;"19,69";"19,62";"19,28";"19,59";"19,89";"20,01";"20,51";"21,04";"21,42";"21,45";"21,47";"21,50"
2024;04. Salamanca;04. Salamanca;"22,69";"23,33";"23,49";"23,72";"23,74";"24,00";"24,00";"24,45";"25,00";"24,99";"24,98";"25,33"
2024;05. Chamartín;05. Chamartín;"19,54";"19,60";"19,89";"20,09";"20,04";"20,21";"20,27";"20,44";"20,65";"20,88";"20,99";"21,15"
2024;06. Tetuán;06. Tetuán;"18,75";"19,15";"19,48";"19,72";"19,82";"19,89";"19,58";"20,00";"20,20";"20,42";"20,34";"20,62"
2024;07. Chamberí;07. Chamberí;"22,05";"22,33";"22,50";"22,58";"22,77";"22,63";"22,82";"23,03";"23,50";"24,14";"24,05";"24,44"
2024;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;"14,45";"14,61";"14,87";"15,02";"15,52";"15,74";"15,91";"16,10";"16,12";"16,09";"15,99";"16,01"
2024;09. Moncloa-Aravaca;09. Moncloa-Aravaca;"18,06";"18,35";"18,24";"18,25";"18,36";"19,12";"19,41";"19,43";"19,68";"19,79";"19,44";"19,55"
2024;10. Latina;10. Latina;"15,02";"15,80";"15,79";"15,72";"15,46";"15,72";"15,84";"16,29";"16,69";"17,04";"16,96";"17,01"
2024;11. Carabanchel;11. Carabanchel;"14,17";"14,35";"14,62";"15,00";"15,00";"15,45";"15,55";"15,82";"16,05";"16,11";"16,02";"16,18"
2024;12. Usera;12. Usera;"14,16";"14,53";"15,38";"15,83";"16,00";"16,37";"16,34";"16,55";"17,56";"17,11";"17,02";"16,98"
2024;13. Puente de Vallecas;13. Puente de Vallecas;"14,30";"14,55";"15,21";"15,30";"15,41";"15,82";"15,78";"16,16";"16,21";"16,25";"16,42";"16,91"
2024;14. Moratalaz;14. Moratalaz;"13,55";"13,09";"13,54";"14,20";"14,53";"14,77";"14,78";"14,49";"14,52";"14,67";"15,00";"15,07"
2024;15. Ciudad Lineal;15. Ciudad Lineal;"15,83";"16,19";"16,26";"16,49";"16,65";"16,98";"17,09";"17,00";"17,19";"17,22";"17,19";"17,40"
2024;16. Hortaleza;16. Hortaleza;"14,75";"14,85";"15,07";"15,24";"15,53";"15,78";"15,82";"15,79";"15,88";"16,18";"16,31";"16,74"
2024;17. Villaverde;17. Villaverde;"13,16";"13,70";"14,08";"13,93";"14,12";"14,38";"15,00";"15,25";"15,83";"15,79";"15,00";"15,08"
2024;18. Villa de Vallecas;18. Villa de Vallecas;"13,25";"13,57";"14,01";"14,30";"14,55";"14,27";"14,25";"14,35";"14,68";"14,98";"15,14";"15,15"
2024;19. Vicálvaro;19. Vicálvaro;"12,80";"12,86";"13,22";"13,08";"12,96";"12,95";"13,50";"13,82";"13,81";"13,90";"14,19";"14,55"
2024;20. San Blas-Canillejas;20. San Blas-Canillejas;"13,92";"13,99";"14,12";"14,54";"14,60";"14,97";"14,94";"14,77";"14,79";"15,18";"15,16";"15,14"
2024;21. Barajas;21. Barajas;"14,11";"13,95";"13,92";"14,08";"14,50";"14,91";"14,69";"14,60";"14,60";"14,78";"14,58";"15,26"
2025;Total Ciudad de Madrid;Ciudad de Madrid;"21,03";"21,17";"21,24";"21,45";"21,71";"21,98";"22,05";"22,22";"22,72";"22,98";"22,83";"22,69"
2025;01. Centro;01. Centro;"25,71";"25,98";"25,68";"25,81";"25,95";"25,99";"25,73";"25,74";"26,51";"26,92";"27,05";"27,15"
2025;02. Arganzuela;02. Arganzuela;"20,23";"20,27";"19,96";"20,51";"20,59";"20,71";"20,63";"20,83";"21,25";"21,36";"21,33";"21,43"
2025;03. Retiro;03. Retiro;"21,43";"21,42";"21,57";"21,83";"22,24";"22,53";"22,79";"23,13";"23,66";"22,93";"23,47";"23,76"
2025;04. Salamanca;04. Salamanca;"25,82";"26,20";"26,12";"26,27";"26,33";"26,52";"26,80";"27,04";"27,58";"27,98";"27,62";"27,39"
2025;05. Chamartín;05. Chamartín;"21,22";"21,31";"21,73";"21,96";"22,17";"22,43";"22,47";"22,78";"22,94";"23,29";"23,03";"22,79"
2025;06. Tetuán;06. Tetuán;"21,05";"21,32";"21,29";"21,62";"21,83";"21,97";"21,99";"21,79";"22,24";"22,71";"22,48";"22,05"
2025;07. Chamberí;07. Chamberí;"25,00";"24,98";"24,97";"24,93";"25,30";"24,98";"25,00";"25,00";"25,50";"26,09";"26,14";"26,46"
2025;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;"16,47";"16,68";"16,98";"17,06";"17,21";"17,26";"17,36";"17,34";"17,58";"17,52";"17,37";"17,41"
2025;09. Moncloa-Aravaca;09. Moncloa-Aravaca;"19,83";"19,62";"19,59";"19,68";"19,67";"20,22";"20,34";"20,69";"21,30";"21,98";"21,70";"21,32"
2025;10. Latina;10. Latina;"17,16";"17,25";"17,29";"17,15";"17,50";"17,67";"17,85";"17,90";"18,44";"18,21";"18,09";"17,97"
2025;11. Carabanchel;11. Carabanchel;"16,07";"16,05";"16,34";"16,44";"16,75";"16,93";"16,76";"16,93";"17,85";"17,89";"17,89";"17,83"
2025;12. Usera;12. Usera;"17,20";"17,47";"17,44";"17,17";"18,02";"18,62";"18,40";"18,52";"19,12";"19,37";"18,69";"18,69"
2025;13. Puente de Vallecas;13. Puente de Vallecas;"16,98";"16,82";"16,88";"17,51";"17,71";"17,90";"17,72";"17,99";"18,75";"18,83";"18,78";"19,08"
2025;14. Moratalaz;14. Moratalaz;"15,00";"15,01";"15,20";"15,45";"15,41";"15,50";"15,91";"15,87";"16,03";"16,27";"16,34";"16,48"
2025;15. Ciudad Lineal;15. Ciudad Lineal;"17,67";"18,18";"18,42";"18,80";"18,85";"18,69";"18,91";"18,84";"18,89";"19,33";"19,16";"19,10"
2025;16. Hortaleza;16. Hortaleza;"16,76";"16,86";"16,75";"16,89";"17,08";"17,26";"17,16";"17,21";"17,35";"17,85";"18,04";"18,11"
2025;17. Villaverde;17. Villaverde;"14,96";"15,00";"15,28";"15,49";"15,67";"15,63";"15,71";"15,71";"15,88";"15,80";"15,73";"16,15"
2025;18. Villa de Vallecas;18. Villa de Vallecas;"15,00";"14,98";"15,06";"15,78";"16,43";"17,02";"16,86";"16,31";"16,10";"17,78";"17,44";"16,54"
2025;19. Vicálvaro;19. Vicálvaro;"14,15";"14,25";"14,24";"14,67";"14,57";"14,25";"14,37";"15,40";"15,88";"15,66";"15,80";"16,17"
2025;20. San Blas-Canillejas;20. San Blas-Canillejas;"15,22";"15,52";"15,97";"16,33";"16,61";"16,35";"16,37";"16,40";"16,55";"17,05";"16,93";"16,95"
2025;21. Barajas;21. Barajas;"15,32";"14,89";"14,71";"15,46";"16,32";"15,68";"16,27";"16,24";"16,12";"16,31";"16,14";"16,19"
2026;Total Ciudad de Madrid;Ciudad de Madrid;"23,10";"23,29";"23,24";"23,30";"23,40";..;..;..;..;..;..;..
2026;01. Centro;01. Centro;"27,46";"27,45";"27,13";"27,00";"26,88";..;..;..;..;..;..;..
2026;02. Arganzuela;02. Arganzuela;"21,88";"21,95";"21,81";"22,10";"22,30";..;..;..;..;..;..;..
2026;03. Retiro;03. Retiro;"24,07";"24,32";"24,38";"24,09";"23,93";..;..;..;..;..;..;..
2026;04. Salamanca;04. Salamanca;"27,98";"28,34";"27,99";"28,05";"28,31";..;..;..;..;..;..;..
2026;05. Chamartín;05. Chamartín;"22,72";"23,14";"23,33";"23,31";"23,24";..;..;..;..;..;..;..
2026;06. Tetuán;06. Tetuán;"22,32";"22,67";"22,85";"23,16";"23,27";..;..;..;..;..;..;..
2026;07. Chamberí;07. Chamberí;"26,71";"26,66";"26,57";"26,36";"26,28";..;..;..;..;..;..;..
2026;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;"17,53";"17,86";"18,12";"18,34";"18,16";..;..;..;..;..;..;..
2026;09. Moncloa-Aravaca;09. Moncloa-Aravaca;"21,60";"21,60";"21,60";"22,46";"22,18";..;..;..;..;..;..;..
2026;10. Latina;10. Latina;"18,03";"18,22";"18,48";"18,43";"18,66";..;..;..;..;..;..;..
2026;11. Carabanchel;11. Carabanchel;"18,09";"18,28";"18,08";"18,19";"18,34";..;..;..;..;..;..;..
2026;12. Usera;12. Usera;"19,26";"19,67";"19,96";"19,96";"19,38";..;..;..;..;..;..;..
2026;13. Puente de Vallecas;13. Puente de Vallecas;"19,92";"20,43";"20,00";"19,56";"19,77";..;..;..;..;..;..;..
2026;14. Moratalaz;14. Moratalaz;"16,67";"16,30";"16,25";"16,83";"16,92";..;..;..;..;..;..;..
2026;15. Ciudad Lineal;15. Ciudad Lineal;"18,92";"19,24";"19,59";"19,85";"20,00";..;..;..;..;..;..;..
2026;16. Hortaleza;16. Hortaleza;"18,51";"18,51";"18,72";"19,01";"18,92";..;..;..;..;..;..;..
2026;17. Villaverde;17. Villaverde;"17,26";"17,27";"17,44";"17,14";"17,08";..;..;..;..;..;..;..
2026;18. Villa de Vallecas;18. Villa de Vallecas;"17,28";"17,43";"17,92";"18,08";"17,88";..;..;..;..;..;..;..
2026;19. Vicálvaro;19. Vicálvaro;"16,84";"16,86";"17,35";"17,10";"16,63";..;..;..;..;..;..;..
2026;20. San Blas-Canillejas;20. San Blas-Canillejas;"16,93";"17,50";"17,37";"17,20";"17,26";..;..;..;..;..;..;..
2026;21. Barajas;21. Barajas;"16,56";"16,54";"16,85";"17,01";"16,98";..;..;..;..;..;..;..
;
;
"Fuente: Fuente: Elaboración propia a partir de los datos facilitados por Idealista.
"
