Codigo distrito	Nombre distrito	Fecha datos	Índice de Vulnerabilidad Territorial de Bienestar e Igualdad	Índice de Vulnerabilidad Territorial de Bienestar e Igualdad - media ciudad	Indicador mayores 75 solos	Indicador mayores 75 solos - media ciudad	Indicador hogares monoparentales	Indicador hogares monoparentales - media ciudad	Indicador solicitudes servicios ayuda en domicilios	Indicador solicitudes servicios ayuda en domicilios - media ciudad	Indicador discapacidad	Indicador discapacidad - media ciudad	Indicador perceptores RMI	Indicador perceptores RMI - media ciudad	Indicador solicitudes teleasistencia	Indicador solicitudes teleasistencia - media ciudad	Indicador actuaciones policiales	Indicador actuaciones policiales - media ciudad	Indicador actuaciones de bomberos	Indicador actuaciones de bomberos - media ciudad	Indicador tiempo llegada bomberos	Indicador tiempo llegada bomberos - media ciudad	Indicador elementos areas para mayores	Indicador elementos areas para mayores - media ciudad
1	Centro	2020	5,98	4,76	5,90	4,81	2,85	4,71	4,80	4,97	7,37	4,83	5,29	4,87	3,18	4,41	18,25	4,68	9,83	4,60	3,94	4,60	4,89	5,02
2	Arganzuela	2020	4,28	4,76	4,98	4,81	3,83	4,71	3,78	4,97	5,01	4,83	1,51	4,87	7,18	4,41	2,64	4,68	4,19	4,60	3,60	4,60	5,49	5,02
3	Retiro	2020	4,11	4,76	4,55	4,81	3,58	4,71	2,92	4,97	4,20	4,83	0,78	4,87	9,01	4,41	1,51	4,68	4,10	4,60	3,90	4,60	6,15	5,02
4	Salamanca	2020	4,62	4,76	4,85	4,81	3,29	4,71	3,60	4,97	3,69	4,83	0,64	4,87	8,02	4,41	5,89	4,68	6,36	4,60	3,81	4,60	9,69	5,02
5	Chamartín	2020	4,36	4,76	4,49	4,81	3,65	4,71	2,71	4,97	3,59	4,83	0,77	4,87	7,63	4,41	1,86	4,68	5,33	4,60	10,34	4,60	6,62	5,02
6	Tetuán	2020	4,53	4,76	5,21	4,81	3,53	4,71	6,35	4,97	4,53	4,83	4,56	4,87	2,70	4,41	3,11	4,68	5,65	4,60	3,71	4,60	6,29	5,02
7	Chamberí	2020	4,25	4,76	5,09	4,81	3,34	4,71	3,64	4,97	3,97	4,83	0,94	4,87	6,49	4,41	4,30	4,68	5,74	4,60	3,63	4,60	7,46	5,02
8	Fuencarral - El Pardo	2020	3,91	4,76	3,99	4,81	6,53	4,71	4,72	4,97	3,97	4,83	1,97	4,87	1,50	4,41	2,27	4,68	4,06	4,60	4,66	4,60	6,24	5,02
9	Moncloa - Aravaca	2020	3,97	4,76	4,48	4,81	4,96	4,71	4,14	4,97	3,96	4,83	1,79	4,87	2,44	4,41	5,13	4,68	5,77	4,60	5,23	4,60	3,88	5,02
10	Latina	2020	4,50	4,76	4,76	4,81	3,91	4,71	6,95	4,97	5,27	4,83	4,71	4,87	2,19	4,41	2,96	4,68	3,37	4,60	4,24	4,60	5,84	5,02
11	Carabanchel	2020	5,51	4,76	5,11	4,81	4,75	4,71	5,53	4,97	5,21	4,83	7,00	4,87	8,44	4,41	4,84	4,68	3,63	4,60	4,09	4,60	3,45	5,02
12	Usera	2020	5,16	4,76	5,11	4,81	4,85	4,71	5,74	4,97	5,92	4,83	10,75	4,87	1,88	4,41	4,72	4,68	3,70	4,60	3,90	4,60	1,82	5,02
13	Puente de Vallecas	2020	6,39	4,76	5,20	4,81	4,65	4,71	6,36	4,97	6,47	4,83	13,10	4,87	5,76	4,41	7,36	4,68	4,24	4,60	3,88	4,60	3,65	5,02
14	Moratalaz	2020	5,27	4,76	4,75	4,81	4,14	4,71	5,67	4,97	5,82	4,83	5,60	4,87	9,25	4,41	2,76	4,68	4,06	4,60	3,98	4,60	3,10	5,02
15	Ciudad Lineal	2020	4,26	4,76	5,21	4,81	4,30	4,71	5,31	4,97	4,31	4,83	2,38	4,87	2,15	4,41	4,47	4,68	3,56	4,60	3,80	4,60	8,98	5,02
16	Hortaleza	2020	3,85	4,76	3,99	4,81	6,57	4,71	4,38	4,97	3,81	4,83	1,82	4,87	2,01	4,41	3,63	4,68	3,67	4,60	4,81	4,60	4,39	5,02
17	Villaverde	2020	4,87	4,76	4,75	4,81	5,29	4,71	5,68	4,97	5,72	4,83	9,37	4,87	0,68	4,41	4,80	4,68	4,17	4,60	4,31	4,60	1,70	5,02
18	Villa de Vallecas	2020	5,87	4,76	4,62	4,81	7,60	4,71	2,76	4,97	4,63	4,83	11,27	4,87	4,04	4,41	6,82	4,68	4,91	4,60	8,66	4,60	3,69	5,02
19	Vicálvaro	2020	5,17	4,76	4,38	4,81	6,14	4,71	4,92	4,97	4,47	4,83	9,85	4,87	5,16	4,41	2,49	4,68	3,64	4,60	5,39	4,60	1,41	5,02
20	San Blas - Canillejas	2020	4,36	4,76	5,01	4,81	5,29	4,71	6,52	4,97	4,54	4,83	4,46	4,87	1,41	4,41	3,49	4,68	4,25	4,60	4,05	4,60	3,45	5,02
21	Barajas	2020	4,76	4,76	3,56	4,81	6,98	4,71	3,50	4,97	3,54	4,83	1,44	4,87	8,88	4,41	6,69	4,68	5,77	4,60	6,09	4,60	1,81	5,02
1	Centro	2021	6,56	4,78	5,87	4,80	2,83	4,73	4,24	4,98	7,57	4,82	6,40	4,90	5,49	4,58	19,55	4,55	12,25	4,62	4,18	4,70	4,19	4,94
2	Arganzuela	2021	4,17	4,78	4,97	4,80	3,83	4,73	4,53	4,98	5,02	4,82	1,74	4,90	5,54	4,58	2,23	4,55	3,56	4,62	3,70	4,70	5,91	4,94
3	Retiro	2021	4,19	4,78	4,55	4,80	3,72	4,73	3,70	4,98	4,15	4,82	0,90	4,90	8,05	4,58	2,48	4,55	3,52	4,62	4,46	4,70	6,53	4,94
4	Salamanca	2021	4,42	4,78	4,86	4,80	3,20	4,73	3,58	4,98	3,64	4,82	0,82	4,90	5,75	4,58	5,84	4,55	7,07	4,62	3,83	4,70	10,27	4,94
5	Chamartín	2021	3,93	4,78	4,47	4,80	3,68	4,73	2,97	4,98	3,63	4,82	0,96	4,90	5,35	4,58	3,15	4,55	5,85	4,62	4,68	4,70	7,05	4,94
6	Tetuán	2021	4,48	4,78	5,25	4,80	3,73	4,73	4,69	4,98	4,49	4,82	4,51	4,90	3,17	4,58	3,70	4,55	5,76	4,62	5,52	4,70	5,06	4,94
7	Chamberí	2021	4,46	4,78	5,09	4,80	3,26	4,73	4,06	4,98	3,90	4,82	1,22	4,90	6,94	4,58	3,60	4,55	6,22	4,62	3,96	4,70	8,67	4,94
8	Fuencarral - El Pardo	2021	4,29	4,78	3,94	4,80	6,39	4,73	4,43	4,98	4,02	4,82	1,83	4,90	5,43	4,58	1,88	4,55	3,50	4,62	5,73	4,70	5,45	4,94
9	Moncloa - Aravaca	2021	3,99	4,78	4,48	4,80	4,89	4,73	3,98	4,98	3,94	4,82	1,91	4,90	1,61	4,58	5,63	4,55	5,99	4,62	6,42	4,70	4,12	4,94
10	Latina	2021	4,46	4,78	4,76	4,80	4,01	4,73	7,61	4,98	5,19	4,82	4,27	4,90	0,78	4,58	3,60	4,55	3,35	4,62	4,96	4,70	6,15	4,94
11	Carabanchel	2021	5,55	4,78	5,07	4,80	4,79	4,73	6,64	4,98	5,10	4,82	6,85	4,90	8,64	4,58	4,04	4,55	3,37	4,62	4,35	4,70	2,84	4,94
12	Usera	2021	5,21	4,78	5,14	4,80	4,91	4,73	5,63	4,98	5,92	4,82	10,92	4,90	2,03	4,58	4,15	4,55	3,82	4,62	4,56	4,70	1,69	4,94
13	Puente de Vallecas	2021	6,68	4,78	5,19	4,80	4,87	4,73	6,73	4,98	6,41	4,82	13,28	4,90	8,51	4,58	4,90	4,55	4,17	4,62	4,33	4,70	3,53	4,94
14	Moratalaz	2021	5,63	4,78	4,81	4,80	3,91	4,73	7,02	4,98	5,83	4,82	5,33	4,90	11,74	4,58	2,36	4,55	3,85	4,62	3,38	4,70	3,25	4,94
15	Ciudad Lineal	2021	4,22	4,78	5,19	4,80	4,41	4,73	5,08	4,98	4,32	4,82	2,92	4,90	2,16	4,58	3,34	4,55	3,74	4,62	4,21	4,70	8,07	4,94
16	Hortaleza	2021	3,64	4,78	4,04	4,80	6,48	4,73	3,20	4,98	3,78	4,82	1,90	4,90	1,27	4,58	3,13	4,55	3,97	4,62	5,09	4,70	4,70	4,94
17	Villaverde	2021	4,86	4,78	4,79	4,80	5,41	4,73	6,35	4,98	5,70	4,82	9,04	4,90	0,05	4,58	4,77	4,55	4,23	4,62	4,44	4,70	1,68	4,94
18	Villa de Vallecas	2021	5,62	4,78	4,55	4,80	7,67	4,73	3,23	4,98	4,65	4,82	9,82	4,90	4,22	4,58	7,94	4,55	3,79	4,62	5,85	4,70	4,02	4,94
19	Vicálvaro	2021	4,96	4,78	4,42	4,80	6,00	4,73	4,39	4,98	4,39	4,82	9,37	4,90	4,35	4,58	2,85	4,55	3,13	4,62	6,09	4,70	1,46	4,94
20	San Blas - Canillejas	2021	4,21	4,78	4,98	4,80	5,33	4,73	4,64	4,98	4,57	4,82	4,44	4,90	1,63	4,58	4,64	4,55	3,94	4,62	4,20	4,70	3,41	4,94
21	Barajas	2021	4,47	4,78	3,57	4,80	6,70	4,73	3,30	4,98	3,76	4,82	1,57	4,90	7,27	4,58	6,23	4,55	4,92	4,62	6,06	4,70	1,94	4,94
1	Centro	2022	6,61	4,73	5,90	4,79	2,79	4,74	3,48	4,98	7,59	4,81	4,07	4,87	3,75	4,30	30,56	4,64	11,23	4,63	4,54	4,55	4,34	4,90
2	Arganzuela	2022	4,03	4,73	5,05	4,79	3,90	4,74	6,02	4,98	5,10	4,81	0,99	4,87	4,25	4,30	2,03	4,64	2,70	4,63	3,68	4,55	5,39	4,90
3	Retiro	2022	4,23	4,73	4,55	4,79	3,67	4,74	3,42	4,98	4,18	4,81	0,57	4,87	9,51	4,30	1,51	4,64	3,88	4,63	4,48	4,55	6,01	4,90
4	Salamanca	2022	4,43	4,73	4,88	4,79	3,19	4,74	2,88	4,98	3,69	4,81	0,30	4,87	7,16	4,30	4,32	4,64	7,47	4,63	4,30	4,55	10,63	4,90
