P. Turismo y eventos
Turismo
Infraestructura hotelera
"1.2.3. Oferta de apartamentos turísticos y hotel-apartamentos en la ciudad de Madrid por Categoría, Tipo de establecimiento y Distrito"
;;;Total;Total
;;;Establecimientos;Plazas
2020;Apartamento turístico;Ciudad de Madrid;105;10.674
2020;Apartamento turístico;01. Centro;48;2.643
2020;Apartamento turístico;02. Arganzuela;4;36
2020;Apartamento turístico;03. Retiro;1;51
2020;Apartamento turístico;04. Salamanca;8;887
2020;Apartamento turístico;05. Chamartín;6;1.053
2020;Apartamento turístico;06. Tetuán;4;301
2020;Apartamento turístico;07. Chamberí;5;671
2020;Apartamento turístico;08. Fuencarral-El Pardo;0;0
2020;Apartamento turístico;09. Moncloa-Aravaca;12;1.095
2020;Apartamento turístico;10. Latina;1;52
2020;Apartamento turístico;11. Carabanchel;3;86
2020;Apartamento turístico;12. Usera;0;0
2020;Apartamento turístico;13. Puente de Vallecas;2;760
2020;Apartamento turístico;14. Moratalaz;0;0
2020;Apartamento turístico;15. Ciudad Lineal;0;0
2020;Apartamento turístico;16. Hortaleza;0;0
2020;Apartamento turístico;17. Villaverde;1;1
2020;Apartamento turístico;18. Villa de Vallecas;0;0
2020;Apartamento turístico;19. Vicálvaro;0;0
2020;Apartamento turístico;20. San Blas-Canillejas;10;3.038
2020;Apartamento turístico;21. Barajas;0;0
2020;Hotel-apartamento;Ciudad de Madrid;13;1.497
2020;Hotel-apartamento;01. Centro;2;158
2020;Hotel-apartamento;02. Arganzuela;0;0
2020;Hotel-apartamento;03. Retiro;0;0
2020;Hotel-apartamento;04. Salamanca;2;74
2020;Hotel-apartamento;05. Chamartín;2;172
2020;Hotel-apartamento;06. Tetuán;1;8
2020;Hotel-apartamento;07. Chamberí;0;0
2020;Hotel-apartamento;08. Fuencarral-El Pardo;0;0
2020;Hotel-apartamento;09. Moncloa-Aravaca;0;0
2020;Hotel-apartamento;10. Latina;0;0
2020;Hotel-apartamento;11. Carabanchel;0;0
2020;Hotel-apartamento;12. Usera;0;0
2020;Hotel-apartamento;13. Puente de Vallecas;0;0
2020;Hotel-apartamento;14. Moratalaz;0;0
