P. Turismo y eventos  "Fuente: Registro de Establecimientos Turísticos Comunidad de Madrid
Turismo
Infraestructura hotelera
"1.2.3. Oferta de apartamentos turísticos y hotel-apartamentos en la ciudad de Madrid por Categoría, Tipo de establecimiento y Distrito"
;;;Total;Total;1 estrella / llave;1 estrella / llave;2 estrellas / llaves;2 estrellas / llaves;3 estrellas / llaves;3 estrellas / llaves;4 estrellas / llaves;4 estrellas / llaves;Sin categoría;Sin categoría
;;;Establecimientos;Plazas;Establecimientos;Plazas;Establecimientos;Plazas;Establecimientos;Plazas;Establecimientos;Plazas;Establecimientos;Plazas
2016;Apartamento turístico;Ciudad de Madrid;87;9.542;26;877;17;1.543;34;6.269;8;851;2;2
2016;Apartamento turístico;01. Centro;38;1.663;15;449;10;320;8;674;3;218;2;2
2016;Apartamento turístico;02. Arganzuela;3;10;1;8;0;0;1;1;1;1;0;0
2016;Apartamento turístico;03. Retiro;1;51;0;0;0;0;1;51;0;0;0;0
2016;Apartamento turístico;04. Salamanca;7;879;1;4;2;408;3;381;1;86;0;0
2016;Apartamento turístico;05. Chamartín;6;989;0;0;1;85;5;904;0;0;0;0
2016;Apartamento turístico;06. Tetuán;4;677;0;0;0;0;3;277;1;400;0;0
2016;Apartamento turístico;07. Chamberí;3;427;0;0;1;60;1;309;1;58;0;0
2016;Apartamento turístico;08. Fuencarral-El Pardo;0;0;0;0;0;0;0;0;0;0;0;0
2016;Apartamento turístico;09. Moncloa-Aravaca;10;969;1;1;1;120;8;848;0;0;0;0
2016;Apartamento turístico;10. Latina;1;52;1;52;0;0;0;0;0;0;0;0
2016;Apartamento turístico;11. Carabanchel;0;0;0;0;0;0;0;0;0;0;0;0
2016;Apartamento turístico;12. Usera;0;0;0;0;0;0;0;0;0;0;0;0
2016;Apartamento turístico;13. Puente de Vallecas;1;42;1;42;0;0;0;0;0;0;0;0
2016;Apartamento turístico;14. Moratalaz;0;0;0;0;0;0;0;0;0;0;0;0
2016;Apartamento turístico;15. Ciudad Lineal;0;0;0;0;0;0;0;0;0;0;0;0
2016;Apartamento turístico;16. Hortaleza;1;10;1;10;0;0;0;0;0;0;0;0
2016;Apartamento turístico;17. Villaverde;1;1;0;0;1;1;0;0;0;0;0;0
2016;Apartamento turístico;18. Villa de Vallecas;1;734;0;0;0;0;1;734;0;0;0;0
2016;Apartamento turístico;19. Vicálvaro;0;0;0;0;0;0;0;0;0;0;0;0
2016;Apartamento turístico;20. San Blas-Canillejas;10;3.038;5;311;1;549;3;2.090;1;88;0;0
2016;Apartamento turístico;21. Barajas;0;0;0;0;0;0;0;0;0;0;0;0
2016;Hotel-apartamento;Ciudad de Madrid;10;1.354;1;80;2;280;4;464;3;530;0;0
2016;Hotel-apartamento;01. Centro;1;66;0;0;0;0;1;66;0;0;0;0
2016;Hotel-apartamento;02. Arganzuela;0;0;0;0;0;0;0;0;0;0;0;0
2016;Hotel-apartamento;03. Retiro;0;0;0;0;0;0;0;0;0;0;0;0
2016;Hotel-apartamento;04. Salamanca;1;28;0;0;1;28;0;0;0;0;0;0
2016;Hotel-apartamento;05. Chamartín;2;175;1;80;0;0;0;0;1;95;0;0
2016;Hotel-apartamento;06. Tetuán;0;0;0;0;0;0;0;0;0;0;0;0
2016;Hotel-apartamento;07. Chamberí;0;0;0;0;0;0;0;0;0;0;0;0
2016;Hotel-apartamento;08. Fuencarral-El Pardo;0;0;0;0;0;0;0;0;0;0;0;0
2016;Hotel-apartamento;09. Moncloa-Aravaca;0;0;0;0;0;0;0;0;0;0;0;0
2016;Hotel-apartamento;10. Latina;0;0;0;0;0;0;0;0;0;0;0;0
2016;Hotel-apartamento;11. Carabanchel;0;0;0;0;0;0;0;0;0;0;0;0
2016;Hotel-apartamento;12. Usera;0;0;0;0;0;0;0;0;0;0;0;0
2016;Hotel-apartamento;13. Puente de Vallecas;0;0;0;0;0;0;0;0;0;0;0;0
2016;Hotel-apartamento;14. Moratalaz;0;0;0;0;0;0;0;0;0;0;0;0
2016;Hotel-apartamento;15. Ciudad Lineal;2;402;0;0;1;252;0;0;1;150;0;0
2016;Hotel-apartamento;16. Hortaleza;0;0;0;0;0;0;0;0;0;0;0;0
2016;Hotel-apartamento;17. Villaverde;2;222;0;0;0;0;2;222;0;0;0;0
2016;Hotel-apartamento;18. Villa de Vallecas;0;0;0;0;0;0;0;0;0;0;0;0
2016;Hotel-apartamento;19. Vicálvaro;1;176;0;0;0;0;1;176;0;0;0;0
2016;Hotel-apartamento;20. San Blas-Canillejas;0;0;0;0;0;0;0;0;0;0;0;0
2016;Hotel-apartamento;21. Barajas;1;285;0;0;0;0;0;0;1;285;0;0
2017;Apartamento turístico;Ciudad de Madrid;94;9.674;33;1.109;19;1.565;32;6.267;8;731;2;2
2017;Apartamento turístico;01. Centro;41;1.689;20;673;10;244;6;672;3;98;2;2
2017;Apartamento turístico;02. Arganzuela;4;36;2;34;0;0;1;1;1;1;0;0
2017;Apartamento turístico;03. Retiro;1;51;0;0;0;0;1;51;0;0;0;0
2017;Apartamento turístico;04. Salamanca;8;973;0;0;4;506;3;381;1;86;0;0
2017;Apartamento turístico;05. Chamartín;7;990;1;1;1;85;5;904;0;0;0;0
2017;Apartamento turístico;06. Tetuán;4;677;0;0;0;0;3;277;1;400;0;0
2017;Apartamento turístico;07. Chamberí;4;437;1;10;1;60;1;309;1;58;0;0
2017;Apartamento turístico;08. Fuencarral-El Pardo;0;0;0;0;0;0;0;0;0;0;0;0
2017;Apartamento turístico;09. Moncloa-Aravaca;11;970;2;2;1;120;8;848;0;0;0;0
2017;Apartamento turístico;10. Latina;1;52;1;52;0;0;0;0;0;0;0;0
2017;Apartamento turístico;11. Carabanchel;0;0;0;0;0;0;0;0;0;0;0;0
2017;Apartamento turístico;12. Usera;0;0;0;0;0;0;0;0;0;0;0;0
2017;Apartamento turístico;13. Puente de Vallecas;1;26;1;26;0;0;0;0;0;0;0;0
2017;Apartamento turístico;14. Moratalaz;0;0;0;0;0;0;0;0;0;0;0;0
2017;Apartamento turístico;15. Ciudad Lineal;0;0;0;0;0;0;0;0;0;0;0;0
2017;Apartamento turístico;16. Hortaleza;0;0;0;0;0;0;0;0;0;0;0;0
2017;Apartamento turístico;17. Villaverde;1;1;0;0;1;1;0;0;0;0;0;0
2017;Apartamento turístico;18. Villa de Vallecas;1;734;0;0;0;0;1;734;0;0;0;0
2017;Apartamento turístico;19. Vicálvaro;0;0;0;0;0;0;0;0;0;0;0;0
2017;Apartamento turístico;20. San Blas-Canillejas;10;3.038;5;311;1;549;3;2.090;1;88;0;0
2017;Apartamento turístico;21. Barajas;0;0;0;0;0;0;0;0;0;0;0;0
2017;Hotel-apartamento;Ciudad de Madrid;10;1.354;1;80;2;280;4;464;3;530;0;0
2017;Hotel-apartamento;01. Centro;1;66;0;0;0;0;1;66;0;0;0;0
2017;Hotel-apartamento;02. Arganzuela;0;0;0;0;0;0;0;0;0;0;0;0
2017;Hotel-apartamento;03. Retiro;0;0;0;0;0;0;0;0;0;0;0;0
2017;Hotel-apartamento;04. Salamanca;1;28;0;0;1;28;0;0;0;0;0;0
2017;Hotel-apartamento;05. Chamartín;2;175;1;80;0;0;0;0;1;95;0;0
2017;Hotel-apartamento;06. Tetuán;0;0;0;0;0;0;0;0;0;0;0;0
2017;Hotel-apartamento;07. Chamberí;0;0;0;0;0;0;0;0;0;0;0;0
2017;Hotel-apartamento;08. Fuencarral-El Pardo;0;0;0;0;0;0;0;0;0;0;0;0
2017;Hotel-apartamento;09. Moncloa-Aravaca;0;0;0;0;0;0;0;0;0;0;0;0
2017;Hotel-apartamento;10. Latina;0;0;0;0;0;0;0;0;0;0;0;0
2017;Hotel-apartamento;11. Carabanchel;0;0;0;0;0;0;0;0;0;0;0;0
2017;Hotel-apartamento;12. Usera;0;0;0;0;0;0;0;0;0;0;0;0
2017;Hotel-apartamento;13. Puente de Vallecas;0;0;0;0;0;0;0;0;0;0;0;0
2017;Hotel-apartamento;14. Moratalaz;0;0;0;0;0;0;0;0;0;0;0;0
2017;Hotel-apartamento;15. Ciudad Lineal;2;402;0;0;1;252;0;0;1;150;0;0
2017;Hotel-apartamento;16. Hortaleza;0;0;0;0;0;0;0;0;0;0;0;0
2017;Hotel-apartamento;17. Villaverde;2;222;0;0;0;0;2;222;0;0;0;0
2017;Hotel-apartamento;18. Villa de Vallecas;0;0;0;0;0;0;0;0;0;0;0;0
2017;Hotel-apartamento;19. Vicálvaro;1;176;0;0;0;0;1;176;0;0;0;0
2017;Hotel-apartamento;20. San Blas-Canillejas;0;0;0;0;0;0;0;0;0;0;0;0
2017;Hotel-apartamento;21. Barajas;1;285;0;0;0;0;0;0;1;285;0;0
2018;Apartamento turístico;Ciudad de Madrid;96;9.487;6;279;33;6.268;23;1.949;33;990;1;1
2018;Apartamento turístico;01. Centro;41;1.786;2;46;6;672;13;514;19;553;1;1
2018;Apartamento turístico;02. Arganzuela;4;36;1;1;1;1;0;0;2;34;0;0
2018;Apartamento turístico;03. Retiro;1;51;0;0;1;51;0;0;0;0;0;0
2018;Apartamento turístico;04. Salamanca;8;973;1;86;3;381;4;506;0;0;0;0
2018;Apartamento turístico;05. Chamartín;7;990;0;0;5;904;1;85;1;1;0;0
2018;Apartamento turístico;06. Tetuán;4;278;0;0;3;277;0;0;1;1;0;0
2018;Apartamento turístico;07. Chamberí;5;551;1;58;1;309;2;174;1;10;0;0
2018;Apartamento turístico;08. Fuencarral-El Pardo;0;0;0;0;0;0;0;0;0;0;0;0
2018;Apartamento turístico;09. Moncloa-Aravaca;12;971;0;0;9;849;1;120;2;2;0;0
2018;Apartamento turístico;10. Latina;1;52;0;0;0;0;0;0;1;52;0;0
2018;Apartamento turístico;11. Carabanchel;0;0;0;0;0;0;0;0;0;0;0;0
2018;Apartamento turístico;12. Usera;0;0;0;0;0;0;0;0;0;0;0;0
2018;Apartamento turístico;13. Puente de Vallecas;2;760;0;0;1;734;0;0;1;26;0;0
2018;Apartamento turístico;14. Moratalaz;0;0;0;0;0;0;0;0;0;0;0;0
2018;Apartamento turístico;15. Ciudad Lineal;0;0;0;0;0;0;0;0;0;0;0;0
2018;Apartamento turístico;16. Hortaleza;0;0;0;0;0;0;0;0;0;0;0;0
2018;Apartamento turístico;17. Villaverde;1;1;0;0;0;0;1;1;0;0;0;0
2018;Apartamento turístico;18. Villa de Vallecas;0;0;0;0;0;0;0;0;0;0;0;0
2018;Apartamento turístico;19. Vicálvaro;0;0;0;0;0;0;0;0;0;0;0;0
2018;Apartamento turístico;20. San Blas-Canillejas;10;3.038;1;88;3;2.090;1;549;5;311;0;0
2018;Apartamento turístico;21. Barajas;0;0;0;0;0;0;0;0;0;0;0;0
2018;Hotel-apartamento;Ciudad de Madrid;11;1.400;3;530;4;464;3;326;1;80;0;0
2018;Hotel-apartamento;01. Centro;1;66;0;0;1;66;0;0;0;0;0;0
2018;Hotel-apartamento;02. Arganzuela;0;0;0;0;0;0;0;0;0;0;0;0
2018;Hotel-apartamento;03. Retiro;0;0;0;0;0;0;0;0;0;0;0;0
2018;Hotel-apartamento;04. Salamanca;2;74;0;0;0;0;2;74;0;0;0;0
2018;Hotel-apartamento;05. Chamartín;2;175;1;95;0;0;0;0;1;80;0;0
2018;Hotel-apartamento;06. Tetuán;0;0;0;0;0;0;0;0;0;0;0;0
2018;Hotel-apartamento;07. Chamberí;0;0;0;0;0;0;0;0;0;0;0;0
2018;Hotel-apartamento;08. Fuencarral-El Pardo;0;0;0;0;0;0;0;0;0;0;0;0
2018;Hotel-apartamento;09. Moncloa-Aravaca;0;0;0;0;0;0;0;0;0;0;0;0
2018;Hotel-apartamento;10. Latina;0;0;0;0;0;0;0;0;0;0;0;0
2018;Hotel-apartamento;11. Carabanchel;0;0;0;0;0;0;0;0;0;0;0;0
2018;Hotel-apartamento;12. Usera;0;0;0;0;0;0;0;0;0;0;0;0
2018;Hotel-apartamento;13. Puente de Vallecas;0;0;0;0;0;0;0;0;0;0;0;0
2018;Hotel-apartamento;14. Moratalaz;0;0;0;0;0;0;0;0;0;0;0;0
2018;Hotel-apartamento;15. Ciudad Lineal;2;402;1;150;0;0;1;252;0;0;0;0
2018;Hotel-apartamento;16. Hortaleza;0;0;0;0;0;0;0;0;0;0;0;0
2018;Hotel-apartamento;17. Villaverde;2;222;0;0;2;222;0;0;0;0;0;0
2018;Hotel-apartamento;18. Villa de Vallecas;0;0;0;0;0;0;0;0;0;0;0;0
2018;Hotel-apartamento;19. Vicálvaro;1;176;0;0;1;176;0;0;0;0;0;0
2018;Hotel-apartamento;20. San Blas-Canillejas;0;0;0;0;0;0;0;0;0;0;0;0
2018;Hotel-apartamento;21. Barajas;1;285;1;285;0;0;0;0;0;0;0;0
2019;Apartamento turístico;Ciudad de Madrid;104;10.165;6;279;34;6.385;26;2.208;37;1.292;1;1
2019;Apartamento turístico;01. Centro;46;2.086;2;46;7;624;15;652;21;763;1;1
2019;Apartamento turístico;02. Arganzuela;4;36;1;1;1;1;0;0;2;34;0;0
2019;Apartamento turístico;03. Retiro;1;51;0;0;1;51;0;0;0;0;0;0
2019;Apartamento turístico;04. Salamanca;8;973;1;86;3;381;4;506;0;0;0;0
2019;Apartamento turístico;05. Chamartín;7;1.087;0;0;5;968;1;85;1;34;0;0
2019;Apartamento turístico;06. Tetuán;5;302;0;0;3;277;0;0;2;25;0;0
