E. Edificación y Vivienda
Mercado de la vivienda
Sistema Estatal de Referencia del Precio del Alquiler de Vivienda
"4.4.1. Número de viviendas en alquiler, Superficie media (m2), Renta media (€/m2.mes) y Cuantía media del arrendamiento (€/mes) por Distrito"
;;Número de viviendas en alquiler;Número de viviendas en alquiler;Número de viviendas en alquiler;Superficie media vivienda colectiva (m2);Renta media vivienda colectiva (€/m2.mes);Cuantía media arrendamiento vivienda colectiva  (€/mes);Superficie media vivienda unifamiliar (m2);Renta media vivienda unifamiliar (€/m2.mes);Cuantía media arrendamiento vivienda  unifamiliar (€/mes)
;;Número total de  viviendas alquiler;Número de viviendas colectivas en alquiler;Número de viviendas unifamiliares en alquiler;Mediana;Mediana;Mediana;Mediana;Mediana;Mediana
2011;Ciudad de Madrid;"137.659,00";"136.157,00";"1.502,00";"65,00";"10,84";"700,00";"188,00";"9,21";"1.113,14"
2011;01. Centro;"10.573,00";"10.570,00";"3,00";"54,00";"12,80";"700,00";"0,00";"0,00";"0,00"
2011;02. Arganzuela;"8.231,00";"8.229,00";"2,00";"63,00";"12,14";"725,00";"0,00";"0,00";"0,00"
2011;03. Retiro;"5.141,00";"5.131,00";"10,00";"71,00";"11,77";"800,00";"206,00";"9,19";"1.552,70"
2011;04. Salamanca;"9.278,00";"9.244,00";"34,00";"63,00";"12,82";"791,67";"216,00";"7,74";"1.297,05"
2011;05. Chamartín;"8.604,00";"8.461,00";"143,00";"65,00";"12,41";"800,00";"201,00";"11,13";"1.750,00"
2011;06. Tetuán;"9.749,00";"9.726,00";"23,00";"56,00";"12,18";"689,04";"92,00";"9,05";"799,11"
2011;07. Chamberí;"10.007,00";"10.003,00";"4,00";"62,00";"13,23";"800,00";"0,00";"0,00";"0,00"
2011;08. Fuencarral-El Pardo;"9.906,00";"9.683,00";"223,00";"72,00";"10,71";"750,00";"200,00";"8,66";"1.078,00"
2011;09. Moncloa-Aravaca;"5.453,00";"5.241,00";"212,00";"69,00";"11,60";"797,67";"235,50";"9,42";"1.500,00"
2011;10. Latina;"8.271,00";"8.223,00";"48,00";"67,00";"9,40";"618,75";"92,00";"8,72";"700,00"
2011;11. Carabanchel;"8.599,00";"8.562,00";"37,00";"64,00";"9,55";"600,00";"91,00";"8,57";"683,33"
2011;12. Usera;"3.552,00";"3.499,00";"53,00";"64,00";"9,29";"600,00";"76,00";"8,24";"600,00"
2011;13. Puente de Vallecas;"6.130,00";"6.019,00";"111,00";"61,00";"9,43";"598,95";"69,00";"9,02";"600,00"
2011;14. Moratalaz;"2.596,00";"2.592,00";"4,00";"71,00";"9,65";"666,73";"0,00";"0,00";"0,00"
2011;15. Ciudad Lineal;"10.448,00";"10.373,00";"75,00";"64,00";"10,64";"683,33";"145,00";"9,88";"1.100,00"
2011;16. Hortaleza;"6.535,00";"6.272,00";"263,00";"78,00";"10,42";"776,68";"276,00";"10,42";"2.100,00"
2011;17. Villaverde;"3.671,00";"3.638,00";"33,00";"67,00";"8,57";"583,33";"60,00";"6,86";"470,42"
2011;18. Villa de Vallecas;"2.536,00";"2.520,00";"16,00";"70,50";"9,44";"644,70";"169,50";"6,91";"900,25"
2011;19. Vicálvaro;"1.991,00";"1.984,00";"7,00";"71,00";"9,18";"650,00";"0,00";"0,00";"0,00"
2011;20. San Blas-Canillejas;"4.513,00";"4.408,00";"105,00";"71,00";"10,20";"700,00";"248,00";"9,56";"1.368,00"
2011;21. Barajas;"1.875,00";"1.779,00";"96,00";"79,00";"10,63";"750,00";"217,00";"8,42";"1.054,75"
2012;Ciudad de Madrid;"149.046,00";"147.341,00";"1.705,00";"65,00";"10,58";"670,83";"183,00";"8,84";"1.000,00"
2012;01. Centro;"11.509,00";"11.505,00";"4,00";"54,00";"12,70";"700,00";"0,00";"0,00";"0,00"
2012;02. Arganzuela;"8.881,00";"8.878,00";"3,00";"63,00";"11,72";"700,00";"0,00";"0,00";"0,00"
2012;03. Retiro;"5.513,00";"5.499,00";"14,00";"72,00";"11,70";"783,33";"152,50";"12,69";"998,96"
2012;04. Salamanca;"10.027,00";"9.990,00";"37,00";"63,00";"12,66";"775,00";"216,00";"6,89";"1.080,09"
2012;05. Chamartín;"9.197,00";"9.022,00";"175,00";"66,00";"12,24";"794,82";"192,00";"10,86";"1.600,00"
2012;06. Tetuán;"10.541,00";"10.511,00";"30,00";"56,00";"11,96";"666,67";"75,50";"9,39";"695,00"
2012;07. Chamberí;"10.859,00";"10.855,00";"4,00";"62,00";"13,10";"799,00";"0,00";"0,00";"0,00"
2012;08. Fuencarral-El Pardo;"10.795,00";"10.546,00";"249,00";"72,00";"10,53";"742,45";"190,00";"8,76";"1.000,00"
2012;09. Moncloa-Aravaca;"5.916,00";"5.675,00";"241,00";"69,00";"11,48";"779,17";"241,00";"8,98";"1.454,17"
2012;10. Latina;"8.851,00";"8.797,00";"54,00";"67,00";"9,04";"600,00";"94,50";"8,18";"687,77"
2012;11. Carabanchel;"9.321,00";"9.282,00";"39,00";"64,00";"9,15";"587,50";"91,00";"6,98";"600,00"
2012;12. Usera;"3.873,00";"3.815,00";"58,00";"65,00";"8,79";"570,00";"81,00";"7,80";"600,00"
2012;13. Puente de Vallecas;"6.627,00";"6.497,00";"130,00";"61,00";"9,07";"552,50";"69,00";"8,39";"580,84"
2012;14. Moratalaz;"2.812,00";"2.806,00";"6,00";"71,00";"9,25";"649,35";"0,00";"0,00";"0,00"
2012;15. Ciudad Lineal;"11.282,00";"11.183,00";"99,00";"64,00";"10,34";"650,97";"144,00";"9,50";"900,00"
2012;16. Hortaleza;"7.097,00";"6.811,00";"286,00";"78,00";"10,34";"750,00";"275,00";"10,03";"2.043,33"
2012;17. Villaverde;"3.973,00";"3.935,00";"38,00";"67,00";"8,22";"550,00";"54,50";"6,96";"500,00"
2012;18. Villa de Vallecas;"2.871,00";"2.855,00";"16,00";"70,00";"9,22";"601,09";"169,50";"6,57";"900,00"
2012;19. Vicálvaro;"2.142,00";"2.135,00";"7,00";"73,00";"8,87";"633,33";"0,00";"0,00";"0,00"
2012;20. San Blas-Canillejas;"4.933,00";"4.819,00";"114,00";"71,00";"9,88";"665,00";"233,00";"8,76";"1.204,17"
2012;21. Barajas;"2.026,00";"1.925,00";"101,00";"79,00";"10,30";"720,00";"228,00";"8,51";"1.114,26"
2013;Ciudad de Madrid;"161.129,00";"159.226,00";"1.903,00";"65,00";"10,00";"638,67";"180,00";"8,46";"964,51"
2013;01. Centro;"12.575,00";"12.570,00";"5,00";"54,00";"12,12";"655,86";"0,00";"0,00";"0,00"
2013;02. Arganzuela;"9.488,00";"9.485,00";"3,00";"63,00";"11,26";"675,00";"0,00";"0,00";"0,00"
2013;03. Retiro;"5.952,00";"5.932,00";"20,00";"72,00";"11,15";"750,00";"185,50";"9,25";"786,25"
2013;04. Salamanca;"10.700,00";"10.659,00";"41,00";"64,00";"12,20";"750,00";"216,00";"8,31";"1.329,47"
2013;05. Chamartín;"9.799,00";"9.617,00";"182,00";"66,00";"11,83";"756,25";"170,50";"10,81";"1.609,33"
2013;06. Tetuán;"11.258,00";"11.226,00";"32,00";"56,00";"11,36";"632,35";"77,50";"9,05";"700,00"
