DISTRICTID,DISTRICTNAME,NEIGHBORHOODNAME
0-EU-ES-28-07-001-079-16,Hortaleza,Palomas
0-EU-ES-28-07-001-079-16,Hortaleza,Conde Orgaz-Piovera
0-EU-ES-28-07-001-079-16,Hortaleza,Canillas
0-EU-ES-28-07-001-079-16,Hortaleza,Pinar del Rey
0-EU-ES-28-07-001-079-16,Hortaleza,Apóstol Santiago
0-EU-ES-28-07-001-079-16,Hortaleza,Valdebebas - Valdefuentes
0-EU-ES-28-07-001-079-16,Hortaleza,Virgen del Cortijo - Manoteras
0-EU-ES-28-07-001-079-16,Hortaleza,Sanchinarro
0-EU-ES-28-07-001-079-21,Barajas,Aeropuerto
0-EU-ES-28-07-001-079-21,Barajas,Casco Histórico de Barajas
0-EU-ES-28-07-001-079-21,Barajas,Timón
0-EU-ES-28-07-001-079-21,Barajas,Campo de las Naciones-Corralejos
0-EU-ES-28-07-001-079-21,Barajas,Alameda de Osuna
0-EU-ES-28-07-001-079-01,Centro,Palacio
0-EU-ES-28-07-001-079-01,Centro,Lavapiés-Embajadores
0-EU-ES-28-07-001-079-01,Centro,Huertas-Cortes
0-EU-ES-28-07-001-079-01,Centro,Chueca-Justicia
0-EU-ES-28-07-001-079-01,Centro,Malasaña-Universidad
0-EU-ES-28-07-001-079-01,Centro,Sol
0-EU-ES-28-07-001-079-02,Arganzuela,Imperial
0-EU-ES-28-07-001-079-02,Arganzuela,Acacias
0-EU-ES-28-07-001-079-02,Arganzuela,Chopera
0-EU-ES-28-07-001-079-02,Arganzuela,Legazpi
0-EU-ES-28-07-001-079-02,Arganzuela,Delicias
0-EU-ES-28-07-001-079-02,Arganzuela,Palos de Moguer
0-EU-ES-28-07-001-079-03,Retiro,Ibiza
0-EU-ES-28-07-001-079-03,Retiro,Jerónimos
0-EU-ES-28-07-001-079-03,Retiro,Niño Jesús
0-EU-ES-28-07-001-079-03,Retiro,Pacífico
0-EU-ES-28-07-001-079-03,Retiro,Adelfas
0-EU-ES-28-07-001-079-03,Retiro,Estrella
0-EU-ES-28-07-001-079-04,Salamanca,Recoletos
0-EU-ES-28-07-001-079-04,Salamanca,Goya
0-EU-ES-28-07-001-079-04,Salamanca,Fuente del Berro
0-EU-ES-28-07-001-079-04,Salamanca,Guindalera
0-EU-ES-28-07-001-079-04,Salamanca,Lista
