DISTRICTNAME NEIGHBORHOODNAME N AVG_UNITPRICE Q1_UNITPRICE Q3_UNITPRICE IQR CV CLUSTER
Centro Lavapiés-Embajadores 3006 4075.3782466829625 3579.0021929824557 4693.324829931973 1114.3226369495171 0.14822522722347187 "Complete neighborhood"
Centro Lavapiés-Embajadores 2808 4042.8054906325247 3540.194805194805 4658.055198973042 1117.8603937782368 0.14905161020340926 "Open Building 2 (Fine Grain)"
Salamanca Goya 2656 5420.777911047413 4706.942428640541 6333.333333333333 1626.390904692792 0.14872238613027242 "Complete neighborhood"
Salamanca Goya 2656 5420.777911047413 4706.942428640541 6333.333333333333 1626.390904692792 0.14872238613027242 "Single-family home 1 (medium intensity)"
Centro Malasaña-Universidad 2586 4887.719519249044 4132.231404958678 5748.663101604278 1616.4316966456008 0.16832107568689184 "Complete neighborhood"
"Ciudad Lineal" "Pueblo Nuevo" 2363 2382.086930405451 2000 2788.8673557278207 788.8673557278207 0.16407280618856204 "Complete neighborhood"
Centro Malasaña-Universidad 2357 4792.544064063129 4095.2380952380954 5640 1544.7619047619046 0.15757732412498224 "Open Building 2 (Fine Grain)"
Villaverde "San Andrés" 2224 1565.340630170534 1307.6923076923076 1806.315789473684 498.62348178137654 0.22058881962157187 "Complete neighborhood"
Salamanca Guindalera 2041 4105.270447214195 3600 4660.194174757282 1060.194174757282 0.14555343132309154 "Complete neighborhood"
Villaverde "San Andrés" 1861 1554.5636103658524 1318.1818181818182 1759.8425196850394 441.6607015032211 0.2253360235100376 "Open block (new extensions)"
"Puente de Vallecas" "San Diego" 1857 1746.606884679965 1452.6315789473683 2041.6666666666667 589.0350877192984 0.1890709521900071 "Complete neighborhood"
"Puente de Vallecas" "San Diego" 1796 1755.7818269945446 1455.2238805970148 2053.5714285714284 598.3475479744136 0.1890580637803738 "Open block (new extensions)"
Centro Palacio 1715 4711.2834140212135 4084.9358974358975 5461.86166774402 1376.925770308123 0.14224613963120522 "Complete neighborhood"
Salamanca Lista 1678 5486.8427485744805 4804.469273743017 6500 1695.5307262569831 0.13488498351835393 "Complete neighborhood"
Moncloa Argüelles 1674 4805.93467469444 4051.0204081632655 5789.074960127592 1738.0545519643265 0.17404803420657722 "Complete neighborhood"
"Villa de Vallecas" "Ensanche de Vallecas - La Gavia" 1666 2623.583676688455 2376.237623762376 2977.0114942528735 600.7738704904973 0.12363067827733602 "Complete neighborhood"
Salamanca Lista 1649 5486.161123285769 4804.469273743017 6500 1695.5307262569831 0.13225290586618793 "Single-family home 1 (medium intensity)"
Chamartín Bernabéu-Hispanoamérica 1644 4928.406030310307 4294.117647058823 5683.238636363636 1389.1209893048126 0.13304087069383264 "Complete neighborhood"
Carabanchel "Vista Alegre" 1587 1990.50392920372 1720.7142857142858 2316.176470588235 595.4621848739494 0.145109933567876 "Complete neighborhood"
"Villa de Vallecas" "Casco Histórico de Vallecas" 1573 1883.5492325233351 1631.578947368421 2163.6363636363635 532.0574162679425 0.18197575644786448 "Complete neighborhood"
Tetuán "Cuatro Caminos" 1557 4201.629711855972 3545.4545454545455 4937.5 1392.0454545454545 0.17105277027222185 "Complete neighborhood"
Latina Aluche 1532 2124.919100971415 1861.7661943319836 2484.2105263157896 622.444331983806 0.14217142911604327 "Complete neighborhood"
Centro Chueca-Justicia 1518 5572.675178039437 4844.6735395189 6575.46600877193 1730.7924692530305 0.15370468266255094 "Complete neighborhood"
Salamanca Recoletos 1507 7166.952024693064 6417.8154570344395 8837.39837398374 2419.582916949301 0.15669450284837802 "Complete neighborhood"
Salamanca Castellana 1499 6320.446547975971 5543.285238623752 7512.953367875648 1969.668129251896 0.14028359473304303 "Complete neighborhood"
"Ciudad Lineal" "Pueblo Nuevo" 1491 2378.126699691074 1996.1819887429644 2792.2077922077924 796.025803464828 0.15959769818925193 "Open block (new extensions)"
Salamanca Recoletos 1471 7148.747644514563 6413.04347826087 8798.076923076924 2385.033444816054 0.15737812792162748 "Single-family home 1 (medium intensity)"
Chamberí Gaztambide 1459 4609.519543221874 4004.310344827586 5208.333333333333 1204.022988505747 0.13815058460373006 "Complete neighborhood"
Chamberí Gaztambide 1459 4609.519543221874 4004.310344827586 5208.333333333333 1204.022988505747 0.13815058460373006 "Single-family home 1 (medium intensity)"
"Puente de Vallecas" Numancia 1438 1911.2578938878569 1625 2234.5454545454545 609.5454545454545 0.1826640556849909 "Complete neighborhood"
