E. Edificación y Vivienda
Mercado de la vivienda
Compra-Venta de Viviendas
Estadística registral inmobiliaria: datos anuales por distritos
4.2.1.6. Precio medio  declarado de la vivienda (euros/m2) por Distrito y Barrio según Tipo de vivienda
Total;Año;Distrito;Barrio;Euros/m2
Total;2020;Ciudad de Madrid;Ciudad de Madrid;"3.481,61"
Total;2020;01. Centro;01. Centro;"5.223,73"
Total;2020;02. Arganzuela;02. Arganzuela;"4.214,21"
Total;2020;03. Retiro;03. Retiro;"4.759,56"
Total;2020;04. Salamanca;04. Salamanca;"5.511,90"
Total;2020;05. Chamartín;05. Chamartín;"5.148,46"
Total;2020;06. Tetuán;06. Tetuán;"3.648,00"
Total;2020;07. Chamberí;07. Chamberí;"5.451,36"
Total;2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;"3.704,16"
Total;2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;"3.961,30"
Total;2020;10. Latina;10. Latina;"2.423,18"
Total;2020;11. Carabanchel;11. Carabanchel;"2.352,41"
Total;2020;12. Usera;12. Usera;"2.323,82"
Total;2020;13. Puente de Vallecas;13. Puente de Vallecas;"1.908,39"
Total;2020;14. Moratalaz;14. Moratalaz;"2.499,60"
Total;2020;15. Ciudad Lineal;15. Ciudad Lineal;"3.154,24"
Total;2020;16. Hortaleza;16. Hortaleza;"3.412,21"
Total;2020;17. Villaverde;17. Villaverde;"1.749,87"
Total;2020;18. Villa de Vallecas;18. Villa de Vallecas;"2.543,35"
Total;2020;19. Vicálvaro;19. Vicálvaro;"2.265,78"
Total;2020;20. San Blas-Canillejas;20. San Blas-Canillejas;"2.601,53"
Total;2020;21. Barajas;21. Barajas;"3.084,26"
Total;2021;Ciudad de Madrid;Ciudad de Madrid;"3.641,57"
Total;2021;01. Centro;01. Centro;"4.935,90"
Total;2021;02. Arganzuela;02. Arganzuela;"4.210,73"
Total;2021;03. Retiro;03. Retiro;"4.818,16"
Total;2021;04. Salamanca;04. Salamanca;"5.737,17"
Total;2021;05. Chamartín;05. Chamartín;"5.122,90"
Total;2021;06. Tetuán;06. Tetuán;"3.756,93"
Total;2021;07. Chamberí;07. Chamberí;"5.701,59"
Total;2021;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;"4.037,31"
Total;2021;09. Moncloa-Aravaca;09. Moncloa-Aravaca;"4.451,38"
Total;2021;10. Latina;10. Latina;"2.340,85"
Total;2021;11. Carabanchel;11. Carabanchel;"2.335,49"
Total;2021;12. Usera;12. Usera;"2.065,27"
Total;2021;13. Puente de Vallecas;13. Puente de Vallecas;"1.908,50"
Total;2021;14. Moratalaz;14. Moratalaz;"2.593,33"
Total;2021;15. Ciudad Lineal;15. Ciudad Lineal;"3.177,85"
Total;2021;16. Hortaleza;16. Hortaleza;"3.851,04"
Total;2021;17. Villaverde;17. Villaverde;"1.836,69"
Total;2021;18. Villa de Vallecas;18. Villa de Vallecas;"2.326,79"
Total;2021;19. Vicálvaro;19. Vicálvaro;"2.410,25"
Total;2021;20. San Blas-Canillejas;20. San Blas-Canillejas;"2.756,64"
Total;2021;21. Barajas;21. Barajas;"3.334,23"
Total;2022;Ciudad de Madrid;Ciudad de Madrid;"3.900,40"
Total;2022;01. Centro;01. Centro;"5.466,32"
Total;2022;02. Arganzuela;02. Arganzuela;"4.489,71"
Total;2022;03. Retiro;03. Retiro;"5.284,27"
Total;2022;04. Salamanca;04. Salamanca;"6.496,29"
Total;2022;05. Chamartín;05. Chamartín;"5.616,88"
Total;2022;06. Tetuán;06. Tetuán;"3.955,42"
Total;2022;07. Chamberí;07. Chamberí;"6.188,49"
Total;2022;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;"4.054,52"
Total;2022;09. Moncloa-Aravaca;09. Moncloa-Aravaca;"4.512,62"
Total;2022;10. Latina;10. Latina;"2.507,78"
Total;2022;11. Carabanchel;11. Carabanchel;"2.454,64"
Total;2022;12. Usera;12. Usera;"2.183,17"
Total;2022;13. Puente de Vallecas;13. Puente de Vallecas;"2.110,69"
Total;2022;14. Moratalaz;14. Moratalaz;"2.767,30"
Total;2022;15. Ciudad Lineal;15. Ciudad Lineal;"3.511,66"
Total;2022;16. Hortaleza;16. Hortaleza;"3.920,20"
Total;2022;17. Villaverde;17. Villaverde;"1.830,26"
Total;2022;18. Villa de Vallecas;18. Villa de Vallecas;"2.628,55"
Total;2022;19. Vicálvaro;19. Vicálvaro;"2.604,57"
Total;2022;20. San Blas-Canillejas;20. San Blas-Canillejas;"2.739,57"
Total;2022;21. Barajas;21. Barajas;"3.445,86"
Total;2023;Ciudad de Madrid;Ciudad de Madrid;"4.060,37"
Total;2023;01. Centro;01. Centro;"5.712,09"
Total;2023;02. Arganzuela;02. Arganzuela;"4.556,68"
Total;2023;03. Retiro;03. Retiro;"5.501,02"
Total;2023;04. Salamanca;04. Salamanca;"7.332,40"
Total;2023;05. Chamartín;05. Chamartín;"5.860,95"
Total;2023;06. Tetuán;06. Tetuán;"4.677,48"
Total;2023;07. Chamberí;07. Chamberí;"6.789,79"
Total;2023;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;"4.480,81"
Total;2023;09. Moncloa-Aravaca;09. Moncloa-Aravaca;"4.643,00"
Total;2023;10. Latina;10. Latina;"2.636,10"
Total;2023;11. Carabanchel;11. Carabanchel;"2.480,02"
Total;2023;12. Usera;12. Usera;"2.303,88"
Total;2023;13. Puente de Vallecas;13. Puente de Vallecas;"2.146,86"
Total;2023;14. Moratalaz;14. Moratalaz;"2.837,45"
Total;2023;15. Ciudad Lineal;15. Ciudad Lineal;"3.559,90"
Total;2023;16. Hortaleza;16. Hortaleza;"4.161,19"
Total;2023;17. Villaverde;17. Villaverde;"1.900,28"
Total;2023;18. Villa de Vallecas;18. Villa de Vallecas;"2.765,88"
