E. Edificación y Vivienda
Mercado de la vivienda
Compra-Venta de Viviendas
Estadística registral inmobiliaria: datos anuales por distritos
4.2.1.6. Precio medio  declarado de la vivienda (euros/m2) por Distrito y Barrio según Tipo de vivienda
;;;Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100)
;;;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas
2020;Ciudad de Madrid;Ciudad de Madrid;"3.481,61";"3.176,50";"3.572,02";"100,00";"100,00";"100,00";"100,00";"91,24";"102,60"
2020;01. Centro;01. Centro;"5.223,73";"5.468,63";"5.194,16";"150,04";"172,16";"145,41";"100,00";"104,69";"99,43"
2020;02. Arganzuela;02. Arganzuela;"4.214,21";"4.436,33";"3.997,83";"121,04";"139,66";"111,92";"100,00";"105,27";"94,87"
2020;03. Retiro;03. Retiro;"4.759,56";"4.831,67";"4.757,93";"136,71";"152,11";"133,20";"100,00";"101,52";"99,97"
2020;04. Salamanca;04. Salamanca;"5.511,90";"6.073,42";"5.478,56";"158,31";"191,20";"153,37";"100,00";"110,19";"99,40"
2020;05. Chamartín;05. Chamartín;"5.148,46";"5.253,88";"5.139,70";"147,88";"165,40";"143,89";"100,00";"102,05";"99,83"
2020;06. Tetuán;06. Tetuán;"3.648,00";"3.523,22";"3.672,79";"104,78";"110,92";"102,82";"100,00";"96,58";"100,68"
2020;07. Chamberí;07. Chamberí;"5.451,36";"4.708,54";"5.471,59";"156,58";"148,23";"153,18";"100,00";"86,37";"100,37"
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;"3.704,16";"3.880,00";"3.609,65";"106,39";"122,15";"101,05";"100,00";"104,75";"97,45"
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;"3.961,30";"4.636,92";"3.757,32";"113,78";"145,98";"105,19";"100,00";"117,06";"94,85"
